election_year,electoral_unit,V_d,S_d,V,S,district_vote_share,district_seat_share,district_valid_votes_per_seat,national_valid_votes_per_seat,district_electoral_weight,district_electoral_weight_exact
2014,PB,1936819,12,97355354,513,0.019894324455951337,0.023391812865497075,161401.58333333334,189776.5185185185,1.1758033260837601,20495864//17431371
2014,PE,4483227,25,97355354,513,0.04605013300038948,0.04873294346978557,179329.08,189776.5185185185,1.0582584738544274,128099150//121047129
2014,PI,1733434,10,97355354,513,0.017805225175391997,0.01949317738791423,173343.4,189776.5185185185,1.0948009472441322,25619830//23401359
2014,PR,5665222,30,97355354,513,0.058191170461975826,0.05847953216374269,188840.73333333334,189776.5185185185,1.0049554202034017,25619830//25493499
2014,RJ,7673438,46,97355354,513,0.07881885982356965,0.08966861598440545,166813.86956521738,189776.5185185185,1.13765431503478,117851218//103591413
2014,RN,1580871,8,97355354,513,0.016238151627490358,0.015594541910331383,197608.875,189776.5185185185,0.9603643486079181,40991728//42683517
2014,RO,798475,8,97355354,513,0.008201654733852645,0.015594541910331383,99809.375,189776.5185185185,1.9013897093185737,40991728//21558825
2014,RR,238099,8,97355354,513,0.002445669295188429,0.015594541910331383,29762.375,189776.5185185185,6.376390275255873,40991728//6428673
2014,RS,5942063,31,97355354,513,0.061034783972949244,0.06042884990253411,191679.4516129032,189776.5185185185,0.9900723156375276,158842946//160435701
2014,SC,3391619,16,97355354,513,0.03483751905416522,0.031189083820662766,211976.1875,189776.5185185185,0.8952728169927979,81983456//91573713
2014,SE,1052826,8,97355354,513,0.010814258864489364,0.015594541910331383,131603.25,189776.5185185185,1.4420351968398843,20495864//14213151
2014,SP,21266194,70,97355354,513,0.21843887496932116,0.1364522417153996,303802.77142857143,189776.5185185185,0.6246701359113105,179338810//287093619
2014,TO,733225,8,97355354,513,0.007531429653062532,0.015594541910331383,91653.125,189776.5185185185,2.070595176307611,40991728//19797075
2018,AC,417502,8,98264190,513,0.004248770584686039,0.015594541910331383,52187.75,191548.12865497076,3.670365720978022,131018920//35696421
2018,AL,1460767,9,98264190,513,0.014865710489243334,0.017543859649122806,162307.44444444444,191548.12865497076,1.180156149402839,32754730//27754573
2018,AM,1770246,8,98264190,513,0.01801516910687403,0.015594541910331383,221280.75,191548.12865497076,0.865633945361134,131018920//151356033
2018,AP,364871,8,98264190,513,0.0037131634627019265,0.015594541910331383,45608.875,191548.12865497076,4.199799461288417,262037840//62392941
2018,BA,6868013,39,98264190,513,0.06989334568371244,0.07602339181286549,176102.89743589744,191548.12865497076,1.087705718894804,425811490//391476741
