"coalition_id","election_year","cabinet_period","source_periods","period_start","period_end","period_days","days_overlapping_mandate","cabinet_party_set_id","A_C","B_C","q_C","A_over_q","B_over_q","A_C_exact","B_C_exact"
"2018/2019.1",2018,"2019.1","[""bolsonaro-2019-01-01""]",2019-01-01,2020-02-10,406,406,"2018:DEM|MDB|NOVO|PP|PSL",8.929052747817424,-3.5258436845767878,154.59679093675936,0.057757038122932425,-0.02280670680945181,"3700709276026635871246170810583136274925807445528320716034935023962445309239438027960742717850600106132535700287797551677790844542560345272905646442813//414457096463140461330406544150513340721881040917599455803651759146856876085850627163945277851148865655468240782979599956850811845181212110644919860240","-4786484515776024503086602816489404576171725417847234060895658335537221426983349381580137782835454591927964314828652943084525764867241995026614248606693645853//1357543029123412076295290714388314383674321858737492242299554638488032732483549411308569331078936128435113525042148539209465999226971240375690447589379893520"
"2018/2020.1",2018,"2020.1","[""bolsonaro-2020-02-11""]",2020-02-11,2020-02-17,7,7,"2018:DEM|MDB|NOVO|PP|PSDB|PSL",9.349769373369428,-4.705440813799558,185.35567144043014,0.05044231611965685,-0.025386009379873755,"1937539133543344520857262555335891959286101350811820246198628710397298105403201592032125055634087331271846995740168145651082420233642131490041492998159//207228548231570230665203272075256670360940520458799727901825879573428438042925313581972638925574432827734120391489799978425405922590606055322459930120","-3193919187863192229504836191325085918341386494002356795895823897172270843568658655492369609617321206898940876002610991870948656364172252266577994525111465471//678771514561706038147645357194157191837160929368746121149777319244016366241774705654284665539468064217556762521074269604732999613485620187845223794689946760"
"2018/2020.2",2018,"2020.2","[""bolsonaro-2020-02-18""]",2020-02-18,2020-04-15,58,58,"2018:DEM|NOVO|PP|PSDB|PSL",5.01148725454002,-5.967486830784428,156.9559995762444,0.031929249395182206,-0.03802012568424061,"14539325195350844887983898498633640248570209425502119683941022590942284355250627382756854013552676869625082387583523732238274371792199711623970139925403//2901199675241983229312845809053593385053167286423196190625562314027998132600954390147616944958042059588277685480857199697955682916268484774514439021680","-56707841039620142336474647141471642415065953002452808997589660141502920138864342835632993325021348133906878484357997806765650557461715418845563954373968425963//9502801203863884534067035000718200685720253011162445696096882469416229127384845879159985317552552899045794675295039774466261994588798682629833133125659254640"
"2018/2020.3",2018,"2020.3","[""bolsonaro-2020-04-16""]",2020-04-16,2020-04-16,1,1,"2018:DEM|MDB|NOVO|PP|PSDB|PSL",9.349769373369428,-4.705440813799558,185.35567144043014,0.05044231611965685,-0.025386009379873755,"1937539133543344520857262555335891959286101350811820246198628710397298105403201592032125055634087331271846995740168145651082420233642131490041492998159//207228548231570230665203272075256670360940520458799727901825879573428438042925313581972638925574432827734120391489799978425405922590606055322459930120","-3193919187863192229504836191325085918341386494002356795895823897172270843568658655492369609617321206898940876002610991870948656364172252266577994525111465471//678771514561706038147645357194157191837160929368746121149777319244016366241774705654284665539468064217556762521074269604732999613485620187845223794689946760"
"2018/2020.4",2018,"2020.4","[""bolsonaro-2020-04-17""]",2020-04-17,2020-05-06,20,20,"2018:DEM|NOVO|PP|PSDB|PSL",5.01148725454002,-5.967486830784428,156.9559995762444,0.031929249395182206,-0.03802012568424061,"14539325195350844887983898498633640248570209425502119683941022590942284355250627382756854013552676869625082387583523732238274371792199711623970139925403//2901199675241983229312845809053593385053167286423196190625562314027998132600954390147616944958042059588277685480857199697955682916268484774514439021680","-56707841039620142336474647141471642415065953002452808997589660141502920138864342835632993325021348133906878484357997806765650557461715418845563954373968425963//9502801203863884534067035000718200685720253011162445696096882469416229127384845879159985317552552899045794675295039774466261994588798682629833133125659254640"
"2018/2020.5",2018,"2020.5","[""bolsonaro-2020-05-07""]",2020-05-07,2020-06-16,41,41,"2018:DEM|PP|PSDB|PSL",9.893766986117328,-4.503090250268795,142.60932326415147,0.06937671927515823,-0.03157640852083591,"4783965594507241020259007484781387987280119966607596062589260326123940450485020262154172024809336139819449113736635622686121481907308856875776475221371//483533279206997204885474301508932230842194547737199365104260385671333022100159065024602824159673676598046280913476199949659280486044747462419073170280","-1426399048378734277406602725063975312214166139731226947872345695959845023897471269887710668465096719092986807256781424693725056730174146418620495741611546395//316760040128796151135567833357273356190675100372081523203229415647207637579494862638666177251751763301526489176501325815542066486293289420994437770855308488"
"2018/2020.6",2018,"2020.6","[""bolsonaro-2020-06-17""]",2020-06-17,2020-06-17,1,1,"2018:DEM|PP|PSD|PSDB|PSL",14.157264067397003,-3.77998417530203,172.62272010790502,0.08201275045687738,-0.02189737349138742,"3309673643404285689360274753620781526875169945921043560779675294853094828502346112602043396931872670529602897423835984941904518671507202927510944383//233779184145204128067110862937437017329022343789137485143075126029653354762365381961935289682356330345550176106434907308457347535557492729614378648","-14472376378584432651002113173402414494562789094044631237441208957199530595917745683346266156684849784557768478663754987970023086167080011564381225673681471//3828687028148221004861819097791378197308724017390187629370218561408633814417746123755030345508683682129651359909363325731773567521675536917740988366502520"
"2018/2020.7",2018,"2020.7","[""bolsonaro-2020-06-18""]",2020-06-18,2020-09-18,93,93,"2018:DEM|PP|PSD|PSL",13.736547441845001,-2.60038704607926,141.86383960423427,0.09682909668994326,-0.018330161183665334,"419499652391861191701921364124351213084169391960135917418310669803177373797319570154387440021068609962044883354547719955351759002529862782949152030721//30538943949915612940135219042669404053191234593928380953953287516084190869483730422606494157453074311455554584009023154715322978065984050258046726544","-1300576902736528534122408312276811681680395238964022000792481811585157532525793120012274870847235916430682068621445083975789287623103948534579053632493285021//500147431782309712319317631616747404511592263745391878741941182600854164599202414692630806186976468370831298699738935498224315504673614875254375427666276560"
"2018/2020.8",2018,"2020.8","[""bolsonaro-2020-09-19""]",2020-09-19,2020-12-08,81,81,"2018:DEM|PSD|PSL",6.417770812501248,-4.045479696073178,113.62770888357193,0.05648068482201982,-0.03560293290977431,"18619234597006098841829386381240420181272834968023587458101728987288882147511266800314416258689510934507044100767120386425112065083503557228597876678649//2901199675241983229312845809053593385053167286423196190625562314027998132600954390147616944958042059588277685480857199697955682916268484774514439021680","-38443389326051094535280006788372982586235079291392837770820645472535613670746964330405777873611689901388298247414823609953418852536917461592217151547938235137//9502801203863884534067035000718200685720253011162445696096882469416229127384845879159985317552552899045794675295039774466261994588798682629833133125659254640"
"2018/2020.9",2018,"2020.9","[""bolsonaro-2020-12-09""]",2020-12-09,2021-02-11,65,65,"2018:DEM|PSC|PSD|PSL",3.3446540578149824,-2.9505451459112666,122.60589108809629,0.027279717378439348,-0.024065280385191318,"9703509266329608192046892034002346096880761895658949164119762380627082243536664414618244294514617671171522024663482828642325107837572150402028290769449//2901199675241983229312845809053593385053167286423196190625562314027998132600954390147616944958042059588277685480857199697955682916268484774514439021680","-28038443964620323752592739195018565346017543025470277553022027369360954961296311724486597798397262003012902255619363350006149472761657099450907066468021961969//9502801203863884534067035000718200685720253011162445696096882469416229127384845879159985317552552899045794675295039774466261994588798682629833133125659254640"
