election_year,ideological_universe,ideological_party_count,left_original_ordinal_position,right_original_ordinal_position,k,gap_count,coalition_id,q_C,d_C,R_C,minimal_seat_majority,inversion,start_index,end_index,start_party,end_party,parties,interval_size,votes,national_vote_total,vote_share,seats,seat_share,quota,seat_diff,required_diff,representation_ratio,vote_majority,seat_majority,majority_status,coalition_inversion,left_removed_seats,right_removed_seats,minimal_connected_winning,minimal_connected_inversion,endpoint_minimal_connected_winning,minimal_ideological_interval_inversion,old_sweep_equivalent
2014,seat_winning,28,4,30,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR|PRB|PTC|PSDC|PSL,438.6317003274417,0.3682996725582939,1.0008396558485932,false,false,1,24,PSOL,PSL,"PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL",24,83241997,97355354,0.8550325542445257,439,0.8557504873294347,438.6317003274417,0.3682996725582939,-181.6317003274417,1.0008396558485932,true,true,votes+seats,false,434,438,false,false,false,false,false
2014,seat_winning,28,4,32,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR|PRB|PTC|PSDC|PSL|PP,472.5125568748895,4.487443125110474,1.0094969817411616,false,false,1,25,PSOL,PP,"PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP",25,89671788,97355354,0.9210771089179133,477,0.9298245614035088,472.5125568748895,4.487443125110474,-215.51255687488953,1.0094969817411616,true,true,votes+seats,false,472,439,false,false,false,false,false
2014,seat_winning,28,4,33,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR|PRB|PTC|PSDC|PSL|PP|PSC,485.7935519088144,4.206448091185621,1.0086589212118138,false,false,1,26,PSOL,PSC,"PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP, PSC",26,92192209,97355354,0.9469659881263438,490,0.9551656920077972,485.7935519088144,4.206448091185621,-228.79355190881438,1.0086589212118138,true,true,votes+seats,false,485,477,false,false,false,false,false
2014,seat_winning,28,4,34,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR|PRB|PTC|PSDC|PSL|PP|PSC|PEN,489.31339200923657,2.6866079907634344,1.0054905670570993,false,false,1,27,PSOL,PEN,"PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP, PSC, PEN",27,92860192,97355354,0.9538272748718062,492,0.9590643274853801,489.31339200923657,2.6866079907634344,-232.31339200923657,1.0054905670570993,true,true,votes+seats,false,487,490,false,false,false,false,false
2014,seat_winning,28,4,35,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR|PRB|PTC|PSDC|PSL|PP|PSC|PEN|DEM,510.8412766595251,2.1587233404749213,1.0042258201110748,false,false,1,28,PSOL,DEM,"PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP, PSC, PEN, DEM",28,96945679,97355354,0.9957919622992691,513,1.0,510.8412766595251,2.1587233404749213,-253.84127665952508,1.0042258201110748,true,true,votes+seats,false,508,492,false,false,false,false,false
2014,seat_winning,28,5,5,0,0,PCdoB,10.080356700259136,-0.0803567002591361,0.9920283872239293,false,false,2,2,PCdoB,PCdoB,PCdoB,1,1913015,97355354,0.01964981812916011,10,0.01949317738791423,10.080356700259136,-0.0803567002591361,246.91964329974087,0.9920283872239293,false,false,neither,false,0,0,false,false,false,false,false
2014,seat_winning,28,5,6,0,0,PCdoB|PT,81.50208002941471,-2.5020800294147136,0.9693004150506135,false,false,2,3,PCdoB,PT,"PCdoB, PT",2,15467181,97355354,0.1588734503497363,79,0.1539961013645224,81.50208002941471,-2.5020800294147136,175.4979199705853,0.9693004150506135,false,false,neither,false,69,10,false,false,false,false,false
2014,seat_winning,28,5,7,0,0,PCdoB|PT|PDT,100.094190515706,-1.0941905157060035,0.9890683913814727,false,false,2,4,PCdoB,PDT,"PCdoB, PT, PDT",3,18995527,97355354,0.19511538112223392,99,0.19298245614035087,100.094190515706,-1.0941905157060035,156.905809484294,0.9890683913814727,false,false,neither,false,89,79,false,false,false,false,false
2014,seat_winning,28,5,8,0,0,PCdoB|PT|PDT|PSB,133.1218698562793,-0.12186985627928948,0.9990845241551154,false,false,2,5,PCdoB,PSB,"PCdoB, PT, PDT, PSB",4,25263405,97355354,0.25949682233192845,133,0.25925925925925924,133.1218698562793,-0.12186985627928948,123.87813014372071,0.9990845241551154,false,false,neither,false,123,99,false,false,false,false,false
2014,seat_winning,28,5,10,0,0,PCdoB|PT|PDT|PSB|PPS,143.42709104627156,-0.42709104627155625,0.9970222428471776,false,false,2,6,PCdoB,PPS,"PCdoB, PT, PDT, PSB, PPS",5,27219094,97355354,0.27958497279974964,143,0.2787524366471735,143.42709104627156,-0.42709104627155625,113.57290895372844,0.9970222428471776,false,false,neither,false,133,133,false,false,false,false,false
2014,seat_winning,28,5,11,0,0,PCdoB|PT|PDT|PSB|PPS|PV,153.98932506577913,-2.989325065779127,0.9805874526399658,false,false,2,7,PCdoB,PV,"PCdoB, PT, PDT, PSB, PPS, PV",6,29223558,97355354,0.300174122935242,151,0.29434697855750486,153.98932506577913,-2.989325065779127,103.01067493422087,0.9805874526399658,false,false,neither,false,141,143,false,false,false,false,false
2014,seat_winning,28,5,12,0,0,PCdoB|PT|PDT|PSB|PPS|PV|PTB,174.61460068236207,1.3853993176379333,1.0079340405225223,false,false,2,8,PCdoB,PTB,"PCdoB, PT, PDT, PSB, PPS, PV, PTB",7,33137751,97355354,0.3403793385621093,176,0.34307992202729043,174.61460068236207,1.3853993176379333,82.38539931763793,1.0079340405225223,false,false,neither,false,166,151,false,false,false,false,false
