"case_id","case_domain","election_year","case_order","case_label","case_display","aggregation_level","component","largest_positive_unit","largest_positive_value","largest_negative_unit","largest_negative_value"
"ideological/2018/03-16","ideological",2018,8,"3-16 PT-PSDB","Ideological 2018/3-16 PT-PSDB","party","A_i","PT",4.883103752831889,"PV",-4.00916402990572
"ideological/2018/03-16","ideological",2018,8,"3-16 PT-PSDB","Ideological 2018/3-16 PT-PSDB","party","B_i","SOLIDARIEDADE",1.8108444173641747,"PT",-1.7502921253203811
"ideological/2018/03-16","ideological",2018,8,"3-16 PT-PSDB","Ideological 2018/3-16 PT-PSDB","party","d_i","MDB",5.600328135814278,"PV",-4.31557588781834
"ideological/2018/03-16","ideological",2018,8,"3-16 PT-PSDB","Ideological 2018/3-16 PT-PSDB","district","a_Cd","MG",3.394072546556463,"PR",-1.7307381060646931
"ideological/2018/03-16","ideological",2018,8,"3-16 PT-PSDB","Ideological 2018/3-16 PT-PSDB","district","b_Cd","AC",3.606625183070581,"SP",-15.637137696722283
"ideological/2018/03-16","ideological",2018,8,"3-16 PT-PSDB","Ideological 2018/3-16 PT-PSDB","district","d_Cd","AC",4.64938905007002,"SP",-15.786656583644561
"ideological/2022/11-20","ideological",2022,9,"11-20 MDB-UNIÃO","Ideological 2022/11-20 MDB-UNIÃO","party","A_i","UNIÃO",9.356662317791708,"PTB",-5.944989995326506
"ideological/2022/11-20","ideological",2022,9,"11-20 MDB-UNIÃO","Ideological 2022/11-20 MDB-UNIÃO","party","B_i","PP",3.1675802384799794,"PSDB",-0.5354860045982207
"ideological/2022/11-20","ideological",2022,9,"11-20 MDB-UNIÃO","Ideological 2022/11-20 MDB-UNIÃO","party","d_i","UNIÃO",11.103563583757866,"PTB",-5.670295919951675
"ideological/2022/11-20","ideological",2022,9,"11-20 MDB-UNIÃO","Ideological 2022/11-20 MDB-UNIÃO","district","a_Cd","AM",1.7317469416542666,"AP",-2.1073337478162815
"ideological/2022/11-20","ideological",2022,9,"11-20 MDB-UNIÃO","Ideological 2022/11-20 MDB-UNIÃO","district","b_Cd","RR",5.398632072149201,"SP",-16.468259436272838
"ideological/2022/11-20","ideological",2022,9,"11-20 MDB-UNIÃO","Ideological 2022/11-20 MDB-UNIÃO","district","d_Cd","RR",6.88666487139778,"SP",-15.768349397955507
"ideological/2022/15-23","ideological",2022,10,"15-23 PROS-PL","Ideological 2022/15-23 PROS-PL","party","A_i","PL",19.069539963729706,"PTB",-5.944989995326506
"ideological/2022/15-23","ideological",2022,10,"15-23 PROS-PL","Ideological 2022/15-23 PROS-PL","party","B_i","PP",3.1675802384799794,"PL",-5.289798809648437
"ideological/2022/15-23","ideological",2022,10,"15-23 PROS-PL","Ideological 2022/15-23 PROS-PL","party","d_i","PL",13.779741154081268,"PTB",-5.670295919951675
"ideological/2022/15-23","ideological",2022,10,"15-23 PROS-PL","Ideological 2022/15-23 PROS-PL","district","a_Cd","AC",3.558091711513795,"PA",-1.5414352177455526
"ideological/2022/15-23","ideological",2022,10,"15-23 PROS-PL","Ideological 2022/15-23 PROS-PL","district","b_Cd","RR",3.860326359743063,"SP",-18.67882259595337
"ideological/2022/15-23","ideological",2022,10,"15-23 PROS-PL","Ideological 2022/15-23 PROS-PL","district","d_Cd","AC",6.869504467400862,"SP",-17.91191468790124
"ideological/2022/16-23","ideological",2022,11,"16-23 PTB-PL","Ideological 2022/16-23 PTB-PL","party","A_i","PL",19.069539963729706,"PTB",-5.944989995326506
"ideological/2022/16-23","ideological",2022,11,"16-23 PTB-PL","Ideological 2022/16-23 PTB-PL","party","B_i","PP",3.1675802384799794,"PL",-5.289798809648437
"ideological/2022/16-23","ideological",2022,11,"16-23 PTB-PL","Ideological 2022/16-23 PTB-PL","party","d_i","PL",13.779741154081268,"PTB",-5.670295919951675
"ideological/2022/16-23","ideological",2022,11,"16-23 PTB-PL","Ideological 2022/16-23 PTB-PL","district","a_Cd","AC",3.58331203238665,"MG",-1.6127406270833151
"ideological/2022/16-23","ideological",2022,11,"16-23 PTB-PL","Ideological 2022/16-23 PTB-PL","district","b_Cd","RR",3.7566298084907257,"SP",-18.57662763906469
"ideological/2022/16-23","ideological",2022,11,"16-23 PTB-PL","Ideological 2022/16-23 PTB-PL","district","d_Cd","AC",6.875923208677305,"SP",-17.627895935847334
"ideological/2022/17-23","ideological",2022,12,"17-23 PP-PL","Ideological 2022/17-23 PP-PL","party","A_i","PL",19.069539963729706,"PSC",-3.7123805451988194
"ideological/2022/17-23","ideological",2022,12,"17-23 PP-PL","Ideological 2022/17-23 PP-PL","party","B_i","PP",3.1675802384799794,"PL",-5.289798809648437
"ideological/2022/17-23","ideological",2022,12,"17-23 PP-PL","Ideological 2022/17-23 PP-PL","party","d_i","PL",13.779741154081268,"NOVO",-3.3519469826339905
"ideological/2022/17-23","ideological",2022,12,"17-23 PP-PL","Ideological 2022/17-23 PP-PL","district","a_Cd","AC",3.58331203238665,"PI",-1.1872767221988645
"ideological/2022/17-23","ideological",2022,12,"17-23 PP-PL","Ideological 2022/17-23 PP-PL","district","b_Cd","RR",3.7273010316620665,"SP",-18.210179359618962
"ideological/2022/17-23","ideological",2022,12,"17-23 PP-PL","Ideological 2022/17-23 PP-PL","district","d_Cd","AC",6.875923208677305,"SP",-16.60946815634501
