"case_id","case_domain","election_year","case_order","case_label","case_display","electoral_unit","v_Cd","V_d","s_Cd","S_d","a_Cd","b_Cd","d_Cd"
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","SC",2424075,3391619,13,16,1.5643994800123482,-1.3377131592990568,0.22668632071329123
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","SE",373907,1052826,3,8,0.15883156381016425,0.870919414240822,1.0297509780509864
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","SP",10185776,21266194,36,70,2.472405922752327,-20.144883843175688,-17.67247792042336
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","TO",550964,733225,7,8,0.9885955879845887,3.1081790588417175,4.096774646826306
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","AC",161857,417502,2,8,-1.10143663982448,2.256442741233345,1.1550061014088653
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","AL",692112,1460767,5,9,0.7357963316531657,0.6509498879004681,1.386746219553634
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","AM",1007774,1770246,6,8,1.4457222329551938,-0.7069273779831028,0.7387948549720911
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","AP",136338,364871,4,8,1.010713375412132,2.277517728919975,3.288231104332107
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","BA",2961342,6868013,19,39,2.1840245497496875,1.3559340455432671,3.5399585952929544
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","CE",1265073,4596080,6,22,-0.055509477641816504,-0.5489559842929941,-0.6044654619348107
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","DF",518674,1439876,4,8,1.1182296253288477,0.17397049355474553,1.2922001188835932
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","ES",854968,1933018,5,10,0.5770303225319164,-0.04049340099417209,0.5365369215377443
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","GO",1682477,3031931,11,17,1.5663720579393132,0.6500547909463286,2.216426848885642
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","MA",1249105,3270678,7,18,0.1256179911321139,0.3532794078084361,0.47889739894054995
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","MG",4173844,10087536,23,53,1.070588100007772,0.13935824972553373,1.2099463497333056
