administration_id,start_inclusive,end_exclusive,comparison_status,comparison_basis,change_dimensions,explanation_decision_ids,evidence_ids,prior_party_ids,prior_source_labels_raw,prior_labels_under_dated_convention,primary_party_ids,primary_labels,label_normalization,added_party_ids,removed_party_ids,prior_source_period_ids,new_period_ids
temer,2016-11-25,2017-02-03,unassessable_current_dependency,previous_continuous_reconstruction,label_normalization,,,CIDADANIA;DEM;MDB;PP;PSB;PSD;PSDB;PTB;PV,DEM;MDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,true,,,2016.4,temer-2016-10-26
temer,2017-02-03,2017-04-26,membership_corrected,previous_continuous_reconstruction,historical_party_recognition;label_normalization;office_scope,C001;R05;R07, CODE-04; LEG record for Quintella; OFF-050;AFF-008;C001;OFF-049,CIDADANIA;DEM;MDB;PP;PSB;PSD;PSDB;PTB;PV,DEM;MDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,true,PL;REPUBLICANOS,,2016.4,temer-2016-10-26
temer,2017-04-26,2017-04-27,membership_corrected,previous_continuous_reconstruction,date;historical_party_recognition;label_normalization;office_scope;personal_affiliation,C001;C006;C007;C041;R05;R07;R10, CODE-04; LEG record for Quintella; OFF-050;AFF-008;C001;C006;C007;C041;LEG-2f8bf5705498;OFF-049,CIDADANIA;DEM;MDB;PP;PSB;PSD;PSDB;PTB;PV,DEM;MDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,true,PL;REPUBLICANOS,PSB,2016.4,temer-2017-04-26
temer,2017-04-27,2017-08-02,membership_corrected,previous_continuous_reconstruction,historical_party_recognition;label_normalization;office_scope,C001;R05;R07, CODE-04; LEG record for Quintella; OFF-050;AFF-008;C001;OFF-049,CIDADANIA;DEM;MDB;PP;PSB;PSD;PSDB;PTB;PV,DEM;MDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,true,PL;REPUBLICANOS,,2016.4,temer-2017-04-27
temer,2017-08-02,2017-08-03,unassessable_current_dependency,previous_continuous_reconstruction,label_normalization,,,CIDADANIA;DEM;MDB;PP;PSB;PSD;PSDB;PTB;PV,DEM;MDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,true,,,2016.4,temer-2017-08-02
temer,2017-08-03,2017-10-18,membership_corrected,previous_continuous_reconstruction,historical_party_recognition;label_normalization;office_scope,C001;R05;R07, CODE-04; LEG record for Quintella; OFF-050;AFF-008;C001;OFF-049,CIDADANIA;DEM;MDB;PP;PSB;PSD;PSDB;PTB;PV,DEM;MDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,true,PL;REPUBLICANOS,,2016.4,temer-2017-08-03
temer,2017-10-18,2017-10-20,membership_corrected,previous_continuous_reconstruction,date;historical_party_recognition;label_normalization;office_scope;personal_affiliation,C001;C006;C007;C041;R05;R07;R10, CODE-04; LEG record for Quintella; OFF-050;AFF-008;C001;C006;C007;C041;LEG-2f8bf5705498;OFF-049,CIDADANIA;DEM;MDB;PP;PSB;PSD;PSDB;PTB;PV,DEM;MDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,true,PL;REPUBLICANOS,PSB,2016.4,temer-2017-10-18
temer,2017-10-20,2017-10-26,unassessable_current_dependency,previous_continuous_reconstruction,label_normalization,,,CIDADANIA;DEM;MDB;PP;PSB;PSD;PSDB;PTB;PV,DEM;MDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,true,,,2016.4,temer-2017-10-18
temer,2017-10-26,2017-12-28,membership_corrected,previous_continuous_reconstruction,date;historical_party_recognition;label_normalization;office_scope;personal_affiliation,C001;C006;C007;C041;R05;R07;R10, CODE-04; LEG record for Quintella; OFF-050;AFF-008;C001;C006;C007;C041;LEG-2f8bf5705498;OFF-049,CIDADANIA;DEM;MDB;PP;PSB;PSD;PSDB;PTB;PV,DEM;MDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,true,PL;REPUBLICANOS,PSB,2016.4,temer-2017-10-18
temer,2017-12-28,2018-03-21,membership_corrected,previous_continuous_reconstruction,date;historical_party_recognition;label_normalization;office_scope;personal_affiliation,C001;C006;C007;C012;C041;R05;R06;R07;R10, CODE-04; LEG record for Quintella; OFF-050; office_audit/occupancy_discrepancies.csv;AFF-008;AFF-009;C001;C006;C007;C012;C041;LEG-2f8bf5705498;OFF-049,CIDADANIA;DEM;MDB;PP;PSB;PSD;PSDB;PV,DEM;MDB;PP;PPS;PSB;PSD;PSDB;PV,DEM;PMDB;PP;PPS;PSB;PSD;PSDB;PV,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,true,PL;PTB;REPUBLICANOS,PSB,2017.1,temer-2017-10-18
