event_id,date,event_type,record_id,person_id,person_name,office_id,party_id,state,date_status,evidence_ids,decision_ids
affiliation-23c362e943ca-end,2023-01-01,affiliations_end,affiliation-23c362e943ca,person-bb7b68961b8f,Geraldo Alckmin,,PSB,PARTY,adjudicated_continuity,OFF-033;OFF-034,PERSON-CONTINUITY-REVIEW
affiliation-25ce9907d287-start,2023-01-01,affiliations_start,affiliation-25ce9907d287,person-f0fb19bbf4c2,Fernando Haddad,,PT,PARTY,adjudicated_continuity,LEG-3b78d99c4156,PERSON-CONTINUITY-REVIEW
affiliation-2d168441b52e-end,2023-01-01,affiliations_end,affiliation-2d168441b52e,person-6fc90e9e6006,Paulo César Alvim,,,UNAFFILIATED,adjudicated_continuity,LEG-6e56717fdb65,PERSON-CONTINUITY-REVIEW
affiliation-32357545734c-start,2023-01-01,affiliations_start,affiliation-32357545734c,person-c505ea49abf6,Márcio França,,PSB,PARTY,adjudicated_continuity,LEG-d183433abf9b,PERSON-CONTINUITY-REVIEW
affiliation-33e0643beee0-start,2023-01-01,affiliations_start,affiliation-33e0643beee0,person-cdcfeb36ce97,José Múcio,,,UNAFFILIATED,adjudicated_continuity,LEG-49030b7594f1,PERSON-CONTINUITY-REVIEW
affiliation-3abb361cc0b0-end,2023-01-01,affiliations_end,affiliation-3abb361cc0b0,person-5197b843a7c6,Bruno Bianco Leal,,,UNAFFILIATED,adjudicated_continuity,C014,C014;PERSON-CONTINUITY-REVIEW
affiliation-49705e8c67b1-end,2023-01-01,affiliations_end,affiliation-49705e8c67b1,person-561613fe4a6e,Maria Estella Dantas Antonichelli,,,UNKNOWN,unresolved_personal_affiliation,V5W5E003,PERSON-CONTINUITY-REVIEW;V5W5D003
affiliation-4a283cc0a199-start,2023-01-01,affiliations_start,affiliation-4a283cc0a199,person-e545719de661,Margareth Menezes,,,UNAFFILIATED,adjudicated_continuity,LEG-ebab6522a877,PERSON-CONTINUITY-REVIEW
affiliation-4b9ed27b1ca1-start,2023-01-01,affiliations_start,affiliation-4b9ed27b1ca1,person-467237911319,Jorge Messias,,,UNAFFILIATED,adjudicated_continuity,LEG-026719312f03,PERSON-CONTINUITY-REVIEW
affiliation-4d1f83056735-start,2023-01-01,affiliations_start,affiliation-4d1f83056735,person-0da4a679c59d,Flávio Dino,,PSB,PARTY,adjudicated_continuity,LEG-a4d9f014f208,PERSON-CONTINUITY-REVIEW
affiliation-51cf0912575d-end,2023-01-01,affiliations_end,affiliation-51cf0912575d,person-40f3a2e695f4,Paulo Guedes,,,UNAFFILIATED,adjudicated_continuity,LEG-24bdcc54c414,PERSON-CONTINUITY-REVIEW
affiliation-58fa25c5e787-start,2023-01-01,affiliations_start,affiliation-58fa25c5e787,person-6f9b22d26357,Alexandre Padilha,,PT,PARTY,adjudicated_continuity,LEG-36e8fd8df999,PERSON-CONTINUITY-REVIEW
affiliation-61c96e16970e-start,2023-01-01,affiliations_start,affiliation-61c96e16970e,person-840d333b3397,Rui Costa,,PT,PARTY,adjudicated_continuity,LEG-6a7f76111362,PERSON-CONTINUITY-REVIEW
affiliation-66214824b17e-end,2023-01-01,affiliations_end,affiliation-66214824b17e,person-1c11e767f427,Adolfo Sachsida,,UNIAO,PARTY,evidence_supported,AFF-044;BOL-E07;BOL-E08;C061;LEG-5b2c802041f5;V5W6E01;V5W6E02,C061;PERSON-CONTINUITY-REVIEW;R26;V5W6D01
affiliation-7659aa9e6014-end,2023-01-01,affiliations_end,affiliation-7659aa9e6014,person-3695143e73fd,Daniel Duarte Ferreira,,,UNAFFILIATED,adjudicated_continuity,LEG-c4002690b590,PERSON-CONTINUITY-REVIEW
affiliation-76841ffb1b2c-end,2023-01-01,affiliations_end,affiliation-76841ffb1b2c,person-0fbaba5c8624,Luiz Eduardo Ramos,,,UNAFFILIATED,adjudicated_continuity,LEG-ce9aa704d046,BOL-A02;PERSON-CONTINUITY-REVIEW
affiliation-7a8a481bf349-start,2023-01-01,affiliations_start,affiliation-7a8a481bf349,person-a9747949f291,Mauro Vieira,,,UNAFFILIATED,adjudicated_continuity,LEG-88618295577b,PERSON-CONTINUITY-REVIEW
affiliation-7d9b15c431f8-end,2023-01-01,affiliations_end,affiliation-7d9b15c431f8,person-a9747949f291,Mauro Vieira,,,UNAFFILIATED,adjudicated_continuity,LEG-2f545a0a2af9,PERSON-CONTINUITY-REVIEW
affiliation-880fc068e5ce-end,2023-01-01,affiliations_end,affiliation-880fc068e5ce,person-6e95055d8cff,Anderson Torres,,,UNAFFILIATED,adjudicated_conflict_resolution,AFF-017;AFF-018;AFF-019;OFF-051,PERSON-CONTINUITY-REVIEW;R19
affiliation-8def2e98c4c4-end,2023-01-01,affiliations_end,affiliation-8def2e98c4c4,person-2c3dff30638f,Marcelo Queiroga,,,UNAFFILIATED,adjudicated_continuity,LEG-f48fe3f88953,PERSON-CONTINUITY-REVIEW
affiliation-91bb99c33095-end,2023-01-01,affiliations_end,affiliation-91bb99c33095,person-7d71eab96e03,Joaquim Alvaro Pereira Leite,,,UNAFFILIATED,adjudicated_continuity,ATLAS-650,PERSON-CONTINUITY-REVIEW
affiliation-9af82354ae39-start,2023-01-01,affiliations_start,affiliation-9af82354ae39,person-b681473bece5,Nísia Trindade,,,UNAFFILIATED,adjudicated_continuity,LEG-eba4482fcf14,PERSON-CONTINUITY-REVIEW
affiliation-9be8f2d57a25-end,2023-01-01,affiliations_end,affiliation-9be8f2d57a25,person-ad64ef4485f1,Victor Godoy Veiga,,,UNAFFILIATED,adjudicated_continuity,ATLAS-635;C022;C048,C022;C048;PERSON-CONTINUITY-REVIEW
affiliation-9e265f24c459-start,2023-01-01,affiliations_start,affiliation-9e265f24c459,person-f54620dbe5c6,Alexandre Silveira,,PSD,PARTY,adjudicated_continuity,LEG-83c787ba4f24,PERSON-CONTINUITY-REVIEW
affiliation-C036-jonathas-assuncao-salvador-nery-de-castro-2022-12-30-end,2023-01-01,affiliations_end,affiliation-C036-jonathas-assuncao-salvador-nery-de-castro-2022-12-30,person-jonathas-assuncao-salvador-nery-de-castro,Jonathas Assunção Salvador Nery de Castro,,,UNKNOWN,unresolved_personal_affiliation,C036;V5W5E004,C036;V5W5D004
affiliation-C044-helder-melillo-lopes-cunha-silva-2022-12-30-end,2023-01-01,affiliations_end,affiliation-C044-helder-melillo-lopes-cunha-silva-2022-12-30,person-helder-melillo-lopes-cunha-silva,Helder Melillo Lopes Cunha Silva,,NOVO,PARTY,adjudicated_registry_pending_departure,C044;C071;V5W5E001,C044;C071;V5W5D001
