evidence_id,snapshot_path,source_locator,snapshot_kind,sha256
ATLAS-567,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L567,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-568,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L568,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-569,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L569,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-570,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L570,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-571,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L571,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-572,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L572,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-573,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L573,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-574,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L574,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-575,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L575,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-576,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L576,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-577,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L577,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-578,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L578,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-579,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L579,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-580,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L580,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-581,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L581,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-582,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L582,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-583,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L583,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-584,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L584,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-585,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L585,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-586,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L586,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-587,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L587,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-588,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L588,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-589,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L589,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-590,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L590,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-591,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L591,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-592,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L592,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-593,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L593,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-594,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L594,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-595,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L595,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-596,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L596,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-597,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L597,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-598,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L598,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-599,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L599,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
