office_id,administration_id,start_inclusive,end_exclusive,accounting_state,service_ids,capacities,gap_ids,evidence_ids
dilma_2-direitos-humanos,dilma_2,2015-04-16,2015-10-05,OFFICEHOLDER,service-dilma_rousseff-1-37,titular,,C024;LEG-b81907f65c5f
dilma_2-educacao,dilma_2,2015-01-01,2015-03-19,OFFICEHOLDER,service-dilma_rousseff-1-39,titular,,LEG-8702e7355c32
dilma_2-educacao,dilma_2,2015-03-19,2015-04-06,OFFICEHOLDER,service-dilma_rousseff-1-40,vacancy_acting,,LEG-71604753d832
dilma_2-educacao,dilma_2,2015-04-06,2015-10-05,OFFICEHOLDER,service-dilma_rousseff-1-41,titular,,C024;LEG-5819c21b71da
dilma_2-educacao,dilma_2,2015-10-05,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-42,titular,,C024;LEG-85841e849f8e
dilma_2-esporte,dilma_2,2015-01-01,2016-03-31,OFFICEHOLDER,service-dilma_rousseff-1-43,titular,,AFF-001;LEG-16d934587913
dilma_2-esporte,dilma_2,2016-03-31,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-44,titular,,LEG-548e8979a482
dilma_2-fazenda,dilma_2,2015-01-01,2015-12-18,OFFICEHOLDER,service-dilma_rousseff-1-45,titular,,LEG-2df1ae3ab2c1
dilma_2-fazenda,dilma_2,2015-12-18,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-46,titular,,LEG-e5f7ea3a676b
dilma_2-gabinete-pessoal,dilma_2,2016-03-16,2016-03-17,VACANT_PENDING_FIRST_MINISTER,,,gap-6aabec277edd,C050
dilma_2-gabinete-pessoal,dilma_2,2016-03-17,2016-05-12,OFFICEHOLDER,service-0756ddce3efb,titular,,OFF-008;OFF-009
dilma_2-gsi,dilma_2,2015-01-01,2015-10-05,OFFICEHOLDER,service-dilma_rousseff-1-47,titular,,C024;LEG-3274ba9a4075
dilma_2-industria-comercio,dilma_2,2015-01-01,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-34,titular,,LEG-ba4b75fca9f5
dilma_2-integracao,dilma_2,2015-01-01,2016-04-14,OFFICEHOLDER,service-dilma_rousseff-1-49,titular,,LEG-3df9b9d5037a
dilma_2-integracao,dilma_2,2016-04-14,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-50,vacancy_acting,,LEG-69449ca60500
dilma_2-justica,dilma_2,2015-01-01,2016-03-03,OFFICEHOLDER,service-dilma_rousseff-1-51,titular,,LEG-8f31809fa406
dilma_2-justica,dilma_2,2016-03-03,2016-03-17,OFFICEHOLDER,service-84105bf0fa5f,titular,,ATLAS-494;OFF-009;OFF-010;OFF-011
dilma_2-justica,dilma_2,2016-03-17,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-53,titular,,LEG-6b43a38603cc
dilma_2-meio-ambiente,dilma_2,2015-01-01,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-54,titular,,LEG-85c2f5b66096
dilma_2-micro-e-pequena-empresa,dilma_2,2015-01-01,2015-10-05,OFFICEHOLDER,service-dilma_rousseff-1-55,titular,,C024;LEG-ea956fb419a3
dilma_2-minas-e-energia,dilma_2,2015-01-01,2016-04-22,OFFICEHOLDER,service-dilma_rousseff-1-56,titular,,C009;LEG-328a5753236c
dilma_2-minas-e-energia,dilma_2,2016-04-22,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-57,titular,,C009;LEG-eb980c56cacd
dilma_2-mulher-familia-direitos,dilma_2,2015-10-05,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-38,titular,,LEG-bcc69be0973d
dilma_2-pesca-e-aquicultura,dilma_2,2015-01-01,2015-10-05,OFFICEHOLDER,service-dilma_rousseff-1-58,titular,,C024;LEG-1591c82663db
dilma_2-planejamento,dilma_2,2015-01-01,2015-12-21,OFFICEHOLDER,service-dilma_rousseff-1-59,titular,,C030;LEG-50db413117de
dilma_2-planejamento,dilma_2,2015-12-21,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-60,titular,,LEG-3a0fd99272c8
dilma_2-politicas-de-promocao-da-igualdade-racial,dilma_2,2015-01-01,2015-10-05,OFFICEHOLDER,service-dilma_rousseff-1-48,titular,,C024;LEG-761e73bcf196
dilma_2-politicas-para-as-mulheres,dilma_2,2015-01-01,2015-10-05,OFFICEHOLDER,service-dilma_rousseff-1-61,titular,,C024;LEG-92ed8875155b
dilma_2-portos,dilma_2,2015-01-01,2015-10-05,OFFICEHOLDER,service-dilma_rousseff-1-62,titular,,C024;LEG-7313721f7d0a
dilma_2-portos,dilma_2,2015-10-05,2016-04-22,OFFICEHOLDER,service-dilma_rousseff-1-63,titular,,C009;C024;LEG-ed798dddc06b
dilma_2-portos,dilma_2,2016-04-22,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-64,titular,,C009;LEG-a4defbba80f9
dilma_2-previdencia-social,dilma_2,2015-01-01,2015-10-05,OFFICEHOLDER,service-dilma_rousseff-1-65,titular,,C024;LEG-b3f068a0416e
dilma_2-relacoes-exteriores,dilma_2,2015-01-01,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-66,titular,,LEG-2f545a0a2af9
dilma_2-relacoes-institucionais,dilma_2,2015-01-01,2015-04-07,OFFICEHOLDER,service-dilma_rousseff-1-67,titular,,LEG-7fd64bd02e06
dilma_2-relacoes-institucionais,dilma_2,2015-04-07,2015-10-05,VACANT_FUNCTIONS_REASSIGNED,,,gap-0df65eff6fe6,C023
dilma_2-saude,dilma_2,2015-01-01,2015-10-05,OFFICEHOLDER,service-dilma_rousseff-1-68,titular,,C024;LEG-03d0c552eee1
dilma_2-saude,dilma_2,2015-10-05,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-69,titular,,C024;LEG-575314f66abd
dilma_2-secretaria-geral,dilma_2,2015-01-01,2015-10-05,OFFICEHOLDER,service-dilma_rousseff-1-70,titular,,C024;LEG-06075cf8fce5
dilma_2-secretaria-governo,dilma_2,2015-10-05,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-71,titular,,LEG-fc4f25515b67
dilma_2-trabalho,dilma_2,2015-01-01,2015-10-05,OFFICEHOLDER,service-dilma_rousseff-1-72,titular,,C024;LEG-8912d93c02b7
dilma_2-trabalho,dilma_2,2015-10-05,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-73,titular,,C024;LEG-8670a70acb8c
dilma_2-transportes,dilma_2,2015-01-01,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-74,titular,,LEG-650019f21afb
dilma_2-turismo,dilma_2,2015-01-01,2015-04-16,OFFICEHOLDER,service-dilma_rousseff-1-75,titular,,LEG-858a83513dbd
dilma_2-turismo,dilma_2,2015-04-16,2016-03-28,OFFICEHOLDER,service-dilma_rousseff-1-76,titular,,LEG-7f1bb5c8a3de
dilma_2-turismo,dilma_2,2016-03-28,2016-04-21,OFFICEHOLDER,service-dilma_rousseff-1-77,titular,,LEG-4bd5de62c2aa
dilma_2-turismo,dilma_2,2016-04-21,2016-05-12,OFFICEHOLDER,service-dilma_rousseff-1-78,titular,,LEG-46405e3b602b
lula_3-agricultura,lula_3,2023-01-01,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-2,titular,,LEG-90750f1c9b17
lula_3-agu,lula_3,2023-01-01,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-49,titular,,LEG-026719312f03
lula_3-casa-civil,lula_3,2023-01-01,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-51,titular,,LEG-6a7f76111362
lula_3-cgu,lula_3,2023-01-01,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-50,titular,,LEG-b2f5b4a75ce6
lula_3-cidades,lula_3,2023-01-01,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-3,titular,,LEG-eedd92e5054e
lula_3-ciencia-tecnologia,lula_3,2023-01-01,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-4,titular,,LEG-a79dfb4e75e8
lula_3-comunicacao-social,lula_3,2023-01-01,2024-05-15,OFFICEHOLDER,service-lula_2023_presente-2-58,titular,,LEG-e020f6e27e56
lula_3-comunicacao-social,lula_3,2024-05-15,2024-09-12,OFFICEHOLDER,service-lula_2023_presente-2-59,vacancy_acting,,LEG-bca3c6c6edac
lula_3-comunicacao-social,lula_3,2024-09-12,2025-01-14,OFFICEHOLDER,service-bd479da06544,titular,,OFF-038;OFF-039;OFF-040
lula_3-comunicacao-social,lula_3,2025-01-14,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-60,titular,,LEG-e1bdeed31aec
lula_3-comunicacoes,lula_3,2023-01-01,2025-04-09,OFFICEHOLDER,service-lula_2023_presente-2-5,titular,,LEG-b5c3c93f0a0d
lula_3-comunicacoes,lula_3,2025-04-09,2025-04-24,OFFICEHOLDER,service-lula_2023_presente-2-6,titular,,LEG-25f8de4303a5
lula_3-comunicacoes,lula_3,2025-04-24,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-7,titular,,AFF-038;LEG-01028140cce5
lula_3-cultura,lula_3,2023-01-01,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-8,titular,,LEG-ebab6522a877
lula_3-defesa,lula_3,2023-01-01,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-9,titular,,LEG-49030b7594f1
lula_3-desenvolvimento-agrario,lula_3,2023-01-01,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-10,titular,,LEG-8c2a099615fd
lula_3-desenvolvimento-social,lula_3,2023-01-01,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-12,titular,,LEG-880bd4a97d76
lula_3-direitos-humanos,lula_3,2023-01-01,2024-09-06,OFFICEHOLDER,service-lula_2023_presente-2-13,titular,,LEG-5e67e9e2f44e
lula_3-direitos-humanos,lula_3,2024-09-06,2024-09-11,OFFICEHOLDER,service-lula_2023_presente-2-14,vacancy_acting,,LEG-b9e8176baff8
lula_3-direitos-humanos,lula_3,2024-09-11,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-15,titular,,LEG-aaebea0a8273
lula_3-educacao,lula_3,2023-01-01,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-16,titular,,LEG-0806dae15b5e
lula_3-empreendedorismo-da-microempresa-e-da-empresa-de-pequeno-porte,lula_3,2023-09-13,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-17,titular,,LEG-2c6bb68fa80b
lula_3-esporte,lula_3,2023-01-01,2023-09-13,OFFICEHOLDER,service-lula_2023_presente-2-18,titular,,LEG-6121a2ab7c3d
lula_3-esporte,lula_3,2023-09-13,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-19,titular,,LEG-1c9c47573abc
lula_3-fazenda,lula_3,2023-01-01,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-20,titular,,C064;LEG-3b78d99c4156
lula_3-gestao-e-da-inovacao-em-servicos-publicos,lula_3,2023-01-01,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-22,titular,,LEG-da6ce3b869d1
lula_3-gsi,lula_3,2023-01-01,2023-04-19,OFFICEHOLDER,service-lula_2023_presente-2-52,titular,,LEG-acfd621740b2
lula_3-gsi,lula_3,2023-04-19,2023-05-04,OFFICEHOLDER,service-lula_2023_presente-2-53,titular,,LEG-45dae6129acc
lula_3-gsi,lula_3,2023-05-04,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-54,titular,,LEG-0183d30a8b9f
lula_3-igualdade-racial,lula_3,2023-01-01,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-23,titular,,LEG-78e62eb293bf
lula_3-industria-comercio,lula_3,2023-01-01,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-11,titular,,LEG-de8718bf31f7
lula_3-integracao,lula_3,2023-01-01,2026-03-20,OFFICEHOLDER,service-lula_2023_presente-2-24,titular,,AFF-038;LEG-3d0e51476ed5
lula_3-justica,lula_3,2023-01-01,2024-02-01,OFFICEHOLDER,service-lula_2023_presente-2-25,titular,,LEG-a4d9f014f208
