period_id,party_id
bolsonaro-2022-03-30,UNIAO
bolsonaro-2022-03-31,PP
bolsonaro-2022-03-31,PSD
bolsonaro-2022-03-31,REPUBLICANOS
bolsonaro-2022-05-11,PP
bolsonaro-2022-05-11,PSD
bolsonaro-2022-05-11,REPUBLICANOS
bolsonaro-2022-05-11,UNIAO
bolsonaro-2022-12-30,NOVO
bolsonaro-2022-12-30,PSD
bolsonaro-2022-12-30,REPUBLICANOS
bolsonaro-2022-12-30,UNIAO
lula_3-2023-01-01,MDB
lula_3-2023-01-01,PCdoB
lula_3-2023-01-01,PDT
lula_3-2023-01-01,PSB
lula_3-2023-01-01,PSD
lula_3-2023-01-01,PSOL
lula_3-2023-01-01,PT
lula_3-2023-01-01,REDE
lula_3-2023-01-01,UNIAO
lula_3-2023-09-13,MDB
lula_3-2023-09-13,PCdoB
lula_3-2023-09-13,PDT
lula_3-2023-09-13,PP
lula_3-2023-09-13,PSB
lula_3-2023-09-13,PSD
lula_3-2023-09-13,PSOL
lula_3-2023-09-13,PT
lula_3-2023-09-13,REDE
lula_3-2023-09-13,REPUBLICANOS
lula_3-2023-09-13,UNIAO
lula_3-2023-12-04,MDB
lula_3-2023-12-04,PCdoB
lula_3-2023-12-04,PDT
lula_3-2023-12-04,PP
lula_3-2023-12-04,PSB
lula_3-2023-12-04,PSD
lula_3-2023-12-04,PSDB
lula_3-2023-12-04,PSOL
lula_3-2023-12-04,PT
lula_3-2023-12-04,REDE
lula_3-2023-12-04,REPUBLICANOS
lula_3-2023-12-04,UNIAO
lula_3-2023-12-06,MDB
lula_3-2023-12-06,PCdoB
lula_3-2023-12-06,PDT
lula_3-2023-12-06,PP
lula_3-2023-12-06,PSB
lula_3-2023-12-06,PSD
lula_3-2023-12-06,PSOL
lula_3-2023-12-06,PT
lula_3-2023-12-06,REDE
lula_3-2023-12-06,REPUBLICANOS
lula_3-2023-12-06,UNIAO
lula_3-2024-12-03,MDB
lula_3-2024-12-03,PCdoB
lula_3-2024-12-03,PDT
lula_3-2024-12-03,PP
lula_3-2024-12-03,PSB
lula_3-2024-12-03,PSD
lula_3-2024-12-03,PSDB
lula_3-2024-12-03,PSOL
lula_3-2024-12-03,PT
lula_3-2024-12-03,REDE
lula_3-2024-12-03,REPUBLICANOS
lula_3-2024-12-03,UNIAO
lula_3-2024-12-06,MDB
lula_3-2024-12-06,PCdoB
lula_3-2024-12-06,PDT
lula_3-2024-12-06,PP
lula_3-2024-12-06,PSB
lula_3-2024-12-06,PSD
lula_3-2024-12-06,PSOL
lula_3-2024-12-06,PT
lula_3-2024-12-06,REDE
lula_3-2024-12-06,REPUBLICANOS
lula_3-2024-12-06,UNIAO
lula_3-2025-10-08,MDB
lula_3-2025-10-08,PCdoB
lula_3-2025-10-08,PDT
lula_3-2025-10-08,PP
lula_3-2025-10-08,PSB
lula_3-2025-10-08,PSD
lula_3-2025-10-08,PSDB
lula_3-2025-10-08,PSOL
lula_3-2025-10-08,PT
lula_3-2025-10-08,REDE
lula_3-2025-10-08,REPUBLICANOS
lula_3-2025-10-09,MDB
lula_3-2025-10-09,PCdoB
lula_3-2025-10-09,PDT
lula_3-2025-10-09,PP
lula_3-2025-10-09,PSB
lula_3-2025-10-09,PSD
lula_3-2025-10-09,PSOL
lula_3-2025-10-09,PT
lula_3-2025-10-09,REDE
lula_3-2025-10-09,REPUBLICANOS
lula_3-2025-10-09,UNIAO
lula_3-2025-11-13,MDB
lula_3-2025-11-13,PCdoB
lula_3-2025-11-13,PDT
lula_3-2025-11-13,PP
lula_3-2025-11-13,PSB
lula_3-2025-11-13,PSD
lula_3-2025-11-13,PSDB
lula_3-2025-11-13,PSOL
lula_3-2025-11-13,PT
lula_3-2025-11-13,REDE
lula_3-2025-11-13,REPUBLICANOS
lula_3-2025-11-17,MDB
lula_3-2025-11-17,PCdoB
lula_3-2025-11-17,PDT
lula_3-2025-11-17,PP
lula_3-2025-11-17,PSB
lula_3-2025-11-17,PSD
lula_3-2025-11-17,PSOL
lula_3-2025-11-17,PT
lula_3-2025-11-17,REDE
lula_3-2025-11-17,REPUBLICANOS
lula_3-2025-11-17,UNIAO
lula_3-2025-12-08,MDB
lula_3-2025-12-08,PCdoB
lula_3-2025-12-08,PDT
lula_3-2025-12-08,PP
lula_3-2025-12-08,PSB
lula_3-2025-12-08,PSD
lula_3-2025-12-08,PSOL
lula_3-2025-12-08,PT
lula_3-2025-12-08,REDE
lula_3-2025-12-08,REPUBLICANOS
lula_3-2025-12-19,MDB
lula_3-2025-12-19,PCdoB
lula_3-2025-12-19,PDT
lula_3-2025-12-19,PP
lula_3-2025-12-19,PSB
lula_3-2025-12-19,PSD
lula_3-2025-12-19,PSDB
lula_3-2025-12-19,PSOL
lula_3-2025-12-19,PT
lula_3-2025-12-19,REDE
lula_3-2025-12-19,REPUBLICANOS
lula_3-2025-12-23,MDB
lula_3-2025-12-23,PCdoB
lula_3-2025-12-23,PDT
lula_3-2025-12-23,PP
lula_3-2025-12-23,PSB
lula_3-2025-12-23,PSD
lula_3-2025-12-23,PSOL
lula_3-2025-12-23,PT
lula_3-2025-12-23,REDE
lula_3-2025-12-23,REPUBLICANOS
