period,start_date,end_date,minister,office,raw_party,canonical_party_at_date,source_url_or_page,notes
2016.2,2016-04-14,2016-04-15,Kátia Abreu,"Ministério da Agricultura, Pecuária e Abastecimento",MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.2,2016-04-14,2016-04-15,Juca Ferreira,Ministério da Cultura,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.2,2016-04-14,2016-04-15,Gilberto Kassab,Ministério das Cidades,PSD,PSD,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.2,2016-04-14,2016-04-15,Eduardo Braga,Ministério de Minas e Energia,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.2,2016-04-14,2016-04-15,Patrus Ananias,Ministério do Desenvolvimento Agrário,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.2,2016-04-14,2016-04-15,Tereza Campello,Ministério do Desenvolvimento Social e Combate à Fome,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.2,2016-04-14,2016-04-15,Armando Monteiro,"Ministério do Desenvolvimento, Indústria e Comércio Exterior",PTB,PTB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.2,2016-04-14,2016-04-15,Antonio Carlos Rodrigues,Ministério dos Transportes,PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.2,2016-04-14,2016-04-15,Edinho Silva,Secretaria de Comunicação Social,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.2,2016-04-14,2016-04-15,Marcelo Castro,Ministério da Saúde,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.2,2016-04-14,2016-04-15,Celso Pansera,"Ministério da Ciência, Tecnologia e Inovação",MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.2,2016-04-14,2016-04-15,Aldo Rebelo,Ministério da Defesa,PCdoB,PCdoB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.2,2016-04-14,2016-04-15,Aloizio Mercadante,Ministério da Educação,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.2,2016-04-14,2016-04-15,André Figueiredo,Ministério das Comunicações,PDT,PDT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.2,2016-04-14,2016-04-15,Miguel Rossetto,Ministério do Trabalho e Emprego,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.2,2016-04-14,2016-04-15,Helder Barbalho,Secretaria Nacional dos Portos,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.2,2016-04-14,2016-04-15,Ricardo Berzoini,Secretaria-Geral da Presidência,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.2,2016-04-14,2016-04-15,José Eduardo Cardozo,Advocacia-Geral da União,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.2,2016-04-14,2016-04-15,Mauro Lopes,Secretaria de Aviação Civil,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.2,2016-04-14,2016-04-15,Ricardo Leyser,Ministério do Esporte,PCdoB,PCdoB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.3,2016-04-16,2016-05-11,Kátia Abreu,"Ministério da Agricultura, Pecuária e Abastecimento",MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.3,2016-04-16,2016-05-11,Juca Ferreira,Ministério da Cultura,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.3,2016-04-16,2016-05-11,Eduardo Braga,Ministério de Minas e Energia,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.3,2016-04-16,2016-05-11,Tereza Campello,Ministério do Desenvolvimento Social e Combate à Fome,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.3,2016-04-16,2016-05-11,Armando Monteiro,"Ministério do Desenvolvimento, Indústria e Comércio Exterior",PTB,PTB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.3,2016-04-16,2016-05-11,Antonio Carlos Rodrigues,Ministério dos Transportes,PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.3,2016-04-16,2016-05-11,Edinho Silva,Secretaria de Comunicação Social,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.3,2016-04-16,2016-05-11,Marcelo Castro,Ministério da Saúde,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.3,2016-04-16,2016-05-11,Aldo Rebelo,Ministério da Defesa,PCdoB,PCdoB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
