election_year,start_index,end_index,start_party,end_party,interval_size,vote_share,seat_share,seats,seat_diff,majority_status,coalition_inversion,minimal_ideological_interval_inversion
2014,4,27,PSOL,PSDC,24,0.8481766806579534,0.8538011695906432,438,2.885362822469915,votes+seats,false,false
2014,4,28,PSOL,PSL,25,0.8564834657167392,0.8557504873294347,439,-0.376017912687189,votes+seats,false,false
2014,4,29,PSOL,PP,26,0.9225280203901267,0.9298245614035088,477,3.743125539864991,votes+seats,false,false
2014,4,30,PSOL,PSC,27,0.9484168995985572,0.9551656920077972,490,3.462130505940138,votes+seats,false,false
2014,4,31,PSOL,PEN,28,0.9552781863440196,0.9590643274853801,492,1.9422904055179515,votes+seats,false,false
2014,4,32,PSOL,DEM,29,0.9972428737714826,1.0,513,1.4144057552294385,votes+seats,false,false
2014,5,5,PCdoB,PCdoB,1,0.01964981812916011,0.01949317738791423,10,-0.0803567002591361,neither,false,false
2014,5,6,PCdoB,PT,2,0.1588734503497363,0.1539961013645224,79,-2.5020800294147136,neither,false,false
2014,5,7,PCdoB,PDT,3,0.19511538112223392,0.19298245614035087,99,-1.0941905157060035,neither,false,false
2014,5,8,PCdoB,PSB,4,0.25949682233192845,0.25925925925925924,133,-0.12186985627928948,neither,false,false
2014,5,9,PCdoB,PPS,5,0.27958497279974964,0.2787524366471735,143,-0.42709104627155625,neither,false,false
2014,5,10,PCdoB,PV,6,0.300174122935242,0.29434697855750486,151,-2.989325065779127,neither,false,false
2014,5,11,PCdoB,PTB,7,0.3403793385621093,0.34307992202729043,176,1.3853993176379333,neither,false,false
2014,5,12,PCdoB,PT DO B,8,0.34872502235470276,0.34502923976608185,177,-1.895936467962514,neither,false,false
2014,5,13,PCdoB,SOLIDARIEDADE,9,0.376352686263151,0.3742690058479532,192,-1.0689280529964549,neither,false,false
2014,5,14,PCdoB,PMN,10,0.3811646763669515,0.38011695906432746,195,-0.5374789762461205,neither,false,false
2014,5,15,PCdoB,PHS,11,0.3908515396081863,0.3898635477582846,200,-0.5068398189995662,neither,false,false
2014,5,16,PCdoB,PMDB,12,0.5017026490397231,0.5165692007797271,265,7.62654104262208,votes+seats,false,false
2014,5,17,PCdoB,PSD,13,0.5630033659987513,0.5867446393762183,301,12.17927324264059,votes+seats,false,false
2014,5,18,PCdoB,PSDB,14,0.6769027515425603,0.6920077972709552,355,7.748888458666556,votes+seats,false,false
2014,5,19,PCdoB,PTN,15,0.6843310230272492,0.6998050682261209,359,7.9381851870211335,votes+seats,false,false
2014,5,20,PCdoB,PPL,16,0.6857819344994627,0.6998050682261209,359,7.193867601775651,votes+seats,false,false
2014,5,21,PCdoB,PRTB,17,0.6904472146441992,0.7017543859649122,360,5.8005788875257736,votes+seats,false,false
2014,5,22,PCdoB,PROS,18,0.7107554660013871,0.723196881091618,371,6.382445941288438,votes+seats,false,false
2014,5,23,PCdoB,PRP,19,0.7182006138049686,0.7290448343079922,374,5.563085118051106,votes+seats,false,false
2014,5,24,PCdoB,PR,20,0.7760866854841902,0.7953216374269005,408,9.867530346610408,votes+seats,false,false
2014,5,25,PCdoB,PRB,21,0.8215369233827654,0.8362573099415205,429,7.551558304641333,votes+seats,false,false
2014,5,26,PCdoB,PTC,22,0.8250099424424053,0.8401559454191033,431,7.76989952704605,votes+seats,false,false
2014,5,27,PCdoB,PSDC,23,0.8302478259182335,0.8440545808966862,433,7.082865303946221,votes+seats,false,false
2014,5,28,PCdoB,PSL,24,0.8385546109770193,0.8460038986354775,434,3.82148456878906,votes+seats,false,false
2014,5,29,PCdoB,PP,25,0.9045991656504069,0.9200779727095516,472,7.940628021341297,votes+seats,false,false
2014,5,30,PCdoB,PSC,26,0.9304880448588374,0.9454191033138402,485,7.659632987416387,votes+seats,false,false
2014,5,31,PCdoB,PEN,27,0.9373493316042999,0.949317738791423,487,6.139792886994144,votes+seats,false,false
2014,5,32,PCdoB,DEM,28,0.9793140190317627,0.9902534113060428,508,5.611908236705688,votes+seats,false,false
2014,6,6,PT,PT,1,0.13922363222057618,0.13450292397660818,69,-2.421723329155583,neither,false,false
2014,6,7,PT,PDT,2,0.1754655629930738,0.17348927875243664,89,-1.0138338154468585,neither,false,false
2014,6,8,PT,PSB,3,0.23984700420276833,0.23976608187134502,123,-0.041513156020158704,neither,false,false
2014,6,9,PT,PPS,4,0.2599351546705896,0.25925925925925924,133,-0.3467343460124539,neither,false,false
2014,6,10,PT,PV,5,0.28052430480608187,0.27485380116959063,141,-2.9089683655199963,neither,false,false
2014,6,11,PT,PTB,6,0.32072952043294917,0.3235867446393762,166,1.4657560178970641,neither,false,false
2014,6,12,PT,PT DO B,7,0.32907520422554265,0.3255360623781676,167,-1.8155797677033831,neither,false,false
2014,6,13,PT,SOLIDARIEDADE,8,0.3567028681339909,0.35477582846003897,182,-0.9885713527373241,neither,false,false
2014,6,14,PT,PMN,9,0.36151485823779145,0.36062378167641324,185,-0.45712227598701816,neither,false,false
2014,6,15,PT,PHS,10,0.3712017214790262,0.37037037037037035,190,-0.42648311874043543,neither,false,false
2014,6,16,PT,PMDB,11,0.48205283091056295,0.49707602339181284,255,7.70689774288121,neither,false,false
2014,6,17,PT,PSD,12,0.5433535478695912,0.5672514619883041,291,12.259629942899721,votes+seats,false,false
2014,6,18,PT,PSDB,13,0.6572529334134002,0.672514619883041,345,7.829245158925687,votes+seats,false,false
2014,6,19,PT,PTN,14,0.6646812048980891,0.6803118908382066,349,8.018541887280264,votes+seats,false,false
2014,6,20,PT,PPL,15,0.6661321163703026,0.6803118908382066,349,7.274224302034781,votes+seats,false,false
2014,6,21,PT,PRTB,16,0.6707973965150391,0.682261208576998,350,5.880935587784961,votes+seats,false,false
2014,6,22,PT,PROS,17,0.691105647872227,0.7037037037037037,361,6.462802641547569,votes+seats,false,false
2014,6,23,PT,PRP,18,0.6985507956758085,0.7095516569200779,364,5.643441818310237,votes+seats,false,false
2014,6,24,PT,PR,19,0.7564368673550301,0.7758284600389863,398,9.947887046869539,votes+seats,false,false
2014,6,25,PT,PRB,20,0.8018871052536053,0.8167641325536062,419,7.631915004900463,votes+seats,false,false
2014,6,26,PT,PTC,21,0.8053601243132452,0.8206627680311891,421,7.850256227305181,votes+seats,false,false
2014,6,27,PT,PSDC,22,0.8105980077890734,0.8245614035087719,423,7.163222004205352,votes+seats,false,false
2014,6,28,PT,PSL,23,0.8189047928478592,0.8265107212475633,424,3.901841269048248,votes+seats,false,false
2014,6,29,PT,PP,24,0.8849493475212468,0.9005847953216374,462,8.020984721600428,votes+seats,false,false
2014,6,30,PT,PSC,25,0.9108382267296773,0.9259259259259259,475,7.739989687675575,votes+seats,false,false
2014,6,31,PT,PEN,26,0.9176995134751398,0.9298245614035088,477,6.220149587253275,votes+seats,false,false
2014,6,32,PT,DEM,27,0.9596642009026026,0.9707602339181286,498,5.692264936964875,votes+seats,false,false
2014,7,7,PDT,PDT,1,0.03624193077249763,0.03898635477582846,20,1.4078895137087173,neither,false,false
2014,7,8,PDT,PSB,2,0.10062337198219216,0.10526315789473684,54,2.380210173135417,neither,false,false
2014,7,9,PDT,PPS,3,0.12071152245001338,0.12475633528265107,64,2.074988983143136,neither,false,false
2014,7,10,PDT,PV,4,0.14130067258550566,0.14035087719298245,72,-0.4872450363643992,neither,false,false
2014,7,11,PDT,PTB,5,0.18150588821237298,0.18908382066276802,97,3.887479347052661,neither,false,false
