election_year,party,votes,vote_share,vote_share_percent,seats,seat_share,representation_ratio,quota,seat_diff
2018,PT,10126611,0.10305494809451948,10.305494809451949,56,0.10916179337231968,1.0592581471410685,52.86718837248849,3.132811627511508
2018,PRB,4984528,0.05072578321767065,5.072578321767065,29,0.056530214424951264,1.1144276310603836,26.022326790665044,2.977673209334956
2018,SOLIDARIEDADE,1953070,0.01987570446568582,1.9875704465685822,13,0.025341130604288498,1.2749802477712626,10.196236390896827,2.8037636091031732
2018,PCdoB,1329575,0.0135306157818021,1.35306157818021,9,0.017543859649122806,1.2966046728426277,6.941205896064477,2.058794103935523
2018,PCO,2785,2.8341962621378142e-5,0.0028341962621378143,0,0.0,0.0,0.014539426824766987,-0.014539426824766987
2018,PSTU,41304,0.00042033623846082687,0.04203362384608269,0,0.0,0.0,0.2156324903304042,-0.2156324903304042
2018,PPS,1590361,0.016184542914361784,1.6184542914361784,8,0.015594541910331383,0.9635454021066701,8.302670515067595,-0.3026705150675948
2018,PMN,634455,0.006456624737862287,0.6456624737862288,3,0.005847953216374269,0.9057291470079237,3.3122484905233534,-0.31224849052335335
2018,PCB,61343,0.0006242660729203588,0.062426607292035884,0,0.0,0.0,0.3202484954081441,-0.3202484954081441
2018,PRP,852994,0.008680619053594194,0.8680619053594194,4,0.007797270955165692,0.8982390434397932,4.453157574493821,-0.45315757449382144
2018,PTB,2022719,0.020584497770754533,2.0584497770754533,10,0.01949317738791423,0.946983385507185,10.559847356397075,-0.559847356397075
2018,PODE,2243320,0.022829476333138247,2.2829476333138246,11,0.021442495126705652,0.9392460349859486,11.71152135889992,-0.7115213588999207
2018,PSDB,5891806,0.059958831391171086,5.995883139117108,30,0.05847953216374269,0.9753280844021549,30.758880503670767,-0.7588805036707669
2018,DC,381734,0.0038847722654611005,0.38847722654611005,1,0.001949317738791423,0.5017843017781249,1.9928881721815446,-0.9928881721815446
2018,PPL,389417,0.003962959446365965,0.3962959446365965,1,0.001949317738791423,0.49188435187721835,2.03299819598574,-1.0329981959857402
2018,PTC,601814,0.006124448794621927,0.6124448794621926,2,0.003898635477582846,0.6365692012979783,3.141842231641048,-1.1418422316410481
2018,PMB,228302,0.002323348922939272,0.2323348922939272,0,0.0,0.0,1.1918779974678466,-1.1918779974678466
2018,PHS,1428537,0.01453771714802717,1.4537717148027172,6,0.011695906432748537,0.8045215293197338,7.457848896937938,-1.4578488969379384
2018,PSC,1719754,0.01750132983338081,1.7501329833380808,7,0.01364522417153996,0.7796678481834002,8.978182204524355,-1.9781822045243551
2018,PATRIOTA,1432304,0.014576052578258673,1.4576052578258674,5,0.009746588693957114,0.6686713458000911,7.477514972646699,-2.4775149726466994
2018,PROS,2044705,0.02080824153743088,2.080824153743088,8,0.015594541910331383,0.7494406426549385,10.67462790870204,-2.674627908702041
2018,AVANTE,1854015,0.018867656671265495,1.8867656671265494,7,0.01364522417153996,0.7232071480461567,9.679107872359198,-2.6791078723591983
2018,REDE,816784,0.008312122656279973,0.8312122656279973,1,0.001949317738791423,0.2345150353765142,4.264118922671626,-3.264118922671626
2018,PRTB,684976,0.006970759134126074,0.6970759134126074,0,0.0,0.0,3.575999435806676,-3.575999435806676
2018,PV,1592833,0.016209699586390524,1.6209699586390525,4,0.007797270955165692,0.4810250130552814,8.315575887818339,-4.315575887818339
2018,PSOL,2783934,0.02833111431539811,2.833111431539811,10,0.01949317738791423,0.6880483828099759,14.53386164379923,-4.533861643799231
2018,NOVO,2748079,0.027966230627861483,2.796623062786148,8,0.015594541910331383,0.5576204429493351,14.34667631209294,-6.34667631209294
2018,PSL,11435001,0.11636997160410115,11.636997160410115,52,0.10136452241715399,0.8710539413209041,59.69779543290389,-7.697795432903888
2022,PL,18175921,0.16612136227274607,16.612136227274608,99,0.19298245614035087,1.1616956031428574,85.22025884591874,13.779741154081265
2022,UNIÃO,10215433,0.09336537313107629,9.336537313107629,59,0.11500974658869395,1.2318244198224428,47.89643641624214,11.103563583757861
2022,PT,13236698,0.1209786455251942,12.09786455251942,69,0.13450292397660818,1.111790625467017,62.062045154424624,6.937954845575376
2022,PP,8692918,0.07945013516978178,7.945013516978178,47,0.09161793372319688,1.1531501302976137,40.75791934209805,6.242080657901951
2022,MDB,7950895,0.0726683125816604,7.2668312581660395,42,0.08187134502923976,1.1266443669961035,37.27884435439179,4.7211556456082135
2022,REPUBLICANOS,7610894,0.06956082607277339,6.956082607277339,40,0.07797270955165692,1.1209284586425576,35.68470377533275,4.31529622466725
2022,PSD,8293956,0.07580376638687063,7.580376638687063,42,0.08187134502923976,1.0800432344140098,38.88733215646463,3.1126678435353696
2022,PV,954578,0.008724498624063859,0.8724498624063859,6,0.011695906432748537,1.340582070869833,4.475667794144759,1.5243322058552407
2022,PCdoB,1154712,0.010553651199996256,1.0553651199996257,6,0.011695906432748537,1.108233180262077,5.414023065598079,0.5859769344019208
2022,PCO,7308,6.679248416018249e-5,0.006679248416018249,0,0.0,0.0,0.03426454437417362,-0.03426454437417362
2022,PSTU,27995,0.0002558642028002612,0.02558642028002612,0,0.0,0.0,0.131258336036534,-0.131258336036534
2022,UP,54586,0.0004988963519933937,0.04988963519933937,0,0.0,0.0,0.255933828572611,-0.255933828572611
2022,PMB,83055,0.0007590927438319591,0.0759092743831959,0,0.0,0.0,0.389414577585795,-0.389414577585795
2022,PCB,85511,0.0007815396980051128,0.07815396980051129,0,0.0,0.0,0.40092986507662287,-0.40092986507662287
2022,DC,97741,0.0008933174869048162,0.08933174869048162,0,0.0,0.0,0.4582718707821707,-0.4582718707821707
2022,AGIR,158868,0.0014519962196989425,0.14519962196989425,0,0.0,0.0,0.7448740607055575,-0.7448740607055575
