"case_id","source_case_id","case_domain","ideological_universe","k","gap_count","case_order","election_year","case_label","cabinet_period","source_periods","period_start","period_end","period_days","ideology_start_index","ideology_end_index","start_party","end_party","coalition_parties","coalition_party_count","minimal_inversion","minimal_status","observed_coalition","synthetic_ideological_interval","composition_equivalence_group","composition_equivalence_count","compositionally_repeated","electoral_unit","v_Cd","V_d","district_coalition_vote_share","s_Cd","S_d","district_coalition_seat_share","within_district_quota","national_quota_contribution","a_Cd","b_Cd","b_Cd_factored","b_crosscheck_residual","d_Cd","a_Cd_exact","b_Cd_exact","d_Cd_exact"
"cabinet/C2014-a264923b9881ebab3d9b","C2014-a264923b9881ebab3d9b","cabinet","not_applicable",,,1,2014,"14-05","14-05","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,,"not applicable",true,false,"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",1,false,"RO",550050,798475,0.6888756692444973,6,8,0.75,5.511005353955978,2.8984091619655556,0.48899464604402143,2.612596191990423,2.612596191990423,0.0,3.1015908380344444,"822//1681","11251650837//4306693423","7946223//2561983"
"cabinet/C2014-a264923b9881ebab3d9b","C2014-a264923b9881ebab3d9b","cabinet","not_applicable",,,1,2014,"14-05","14-05","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,,"not applicable",true,false,"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",1,false,"RR",73580,238099,0.30903111730834654,3,8,0.375,2.4722489384667723,0.38771920032256263,0.5277510615332278,2.0845297381442096,2.0845297381442096,0.0,2.6122807996774373,"125657//238099","1271574793450//610005590317","6692619//2561983"
"cabinet/C2014-a264923b9881ebab3d9b","C2014-a264923b9881ebab3d9b","cabinet","not_applicable",,,1,2014,"14-05","14-05","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,,"not applicable",true,false,"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",1,false,"RS",3758463,5942063,0.6325182011701996,20,31,0.6451612903225806,19.60806423627619,19.804678836666753,0.39193576372381106,-0.19661460039056491,-0.19661460039056491,0.0,0.19532116333324617,"2328907//5942063","-5986310735565//30446928781858","1000819//5123966"
"cabinet/C2014-a264923b9881ebab3d9b","C2014-a264923b9881ebab3d9b","cabinet","not_applicable",,,1,2014,"14-05","14-05","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,,"not applicable",true,false,"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",1,false,"SC",2153228,3391619,0.6348673008377415,11,16,0.6875,10.157876813403863,11.346124466868048,0.8421231865961359,-1.188247653464183,-1.188247653464183,0.0,-0.34612446686804715,"37093//44047","-134090973374//112847665201","-886765//2561983"
"cabinet/C2014-a264923b9881ebab3d9b","C2014-a264923b9881ebab3d9b","cabinet","not_applicable",,,1,2014,"14-05","14-05","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,,"not applicable",true,false,"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",1,false,"SE",552311,1052826,0.5245985566465874,4,8,0.5,4.196788453172699,2.9103231754465195,-0.196788453172699,1.2864652777261796,1.2864652777261796,0.0,1.0896768245534807,"-103592//526413","3470011499743//2697322313958","5583467//5123966"
"cabinet/C2014-a264923b9881ebab3d9b","C2014-a264923b9881ebab3d9b","cabinet","not_applicable",,,1,2014,"14-05","14-05","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,,"not applicable",true,false,"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",1,false,"SP",7751893,21266194,0.3645171768864706,26,70,0.37142857142857144,25.516202382052942,40.8474823993758,0.48379761794705717,-15.331280017322854,-15.331280017322854,0.0,-14.847482399375796,"5144267//10633097","-835303749603437//54483627502702","-76077995//5123966"
"cabinet/C2014-a264923b9881ebab3d9b","C2014-a264923b9881ebab3d9b","cabinet","not_applicable",,,1,2014,"14-05","14-05","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,,"not applicable",true,false,"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",1,false,"TO",355673,733225,0.4850802959528112,4,8,0.5,3.8806423676224897,1.8741675881533952,0.11935763237751032,2.0064747794690945,2.0064747794690945,0.0,2.1258324118466048,"87516//733225","7538365816469//3757019970350","10892693//5123966"
"cabinet/C2022-259238bde0cf94feb03e","C2022-259238bde0cf94feb03e","cabinet","not_applicable",,,2,2022,"22-01","22-01","[""lula_3-2023-01-01""]",2023-01-01,2023-09-12,255,,,,,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",9,,"not applicable",true,false,"2022:MDB|PCdoB|PDT|PSB|PSD|PSOL|PT|REDE|UNIÃO",1,false,"AC",216161,434253,0.497776641727288,3,8,0.375,3.982213133818304,1.0135000241469272,-0.9822131338183041,2.968713109671377,2.968713109671377,0.0,1.9864999758530728,"-426529//434253","141052893740275//47513144089524","217349931//109413508"
"cabinet/C2022-259238bde0cf94feb03e","C2022-259238bde0cf94feb03e","cabinet","not_applicable",,,2,2022,"22-01","22-01","[""lula_3-2023-01-01""]",2023-01-01,2023-09-12,255,,,,,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",9,,"not applicable",true,false,"2022:MDB|PCdoB|PDT|PSB|PSD|PSOL|PT|REDE|UNIÃO",1,false,"AL",728401,1650763,0.4412511063065988,4,9,0.4444444444444444,3.9712599567593894,3.4152064021199284,0.028740043240610556,0.556053554639461,0.556053554639461,0.0,0.5847935978800717,"47443//1650763","100432041325353//180615770706604","63984319//109413508"
"cabinet/C2022-259238bde0cf94feb03e","C2022-259238bde0cf94feb03e","cabinet","not_applicable",,,2,2022,"22-01","22-01","[""lula_3-2023-01-01""]",2023-01-01,2023-09-12,255,,,,,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",9,,"not applicable",true,false,"2022:MDB|PCdoB|PDT|PSB|PSD|PSOL|PT|REDE|UNIÃO",1,false,"AM",932438,1976477,0.47176769575360605,4,8,0.5,3.7741415660288484,4.371861415868322,0.2258584339711517,-0.5977198498394739,-0.5977198498394739,0.0,-0.3718614158683222,"446404//1976477","-64629439637503//108126641025658","-20343331//54706754"
"cabinet/C2022-259238bde0cf94feb03e","C2022-259238bde0cf94feb03e","cabinet","not_applicable",,,2,2022,"22-01","22-01","[""lula_3-2023-01-01""]",2023-01-01,2023-09-12,255,,,,,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",9,,"not applicable",true,false,"2022:MDB|PCdoB|PDT|PSB|PSD|PSOL|PT|REDE|UNIÃO",1,false,"AP",201989,423017,0.47749617627660357,5,8,0.625,3.8199694102128285,0.9470526893260748,1.1800305897871717,2.8729167208867534,2.8729167208867534,0.0,4.052947310673925,"499173//423017","132969427982227//46283773913636","443447183//109413508"
"cabinet/C2022-259238bde0cf94feb03e","C2022-259238bde0cf94feb03e","cabinet","not_applicable",,,2,2022,"22-01","22-01","[""lula_3-2023-01-01""]",2023-01-01,2023-09-12,255,,,,,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",9,,"not applicable",true,false,"2022:MDB|PCdoB|PDT|PSB|PSD|PSOL|PT|REDE|UNIÃO",1,false,"BA",4791616,7958431,0.6020804854625239,25,39,0.6410256410256411,23.481138933038434,22.46613834920639,1.5188610669615656,1.0150005838320457,1.0150005838320457,0.0,2.5338616507936114,"929827//612187","16996572309072//16745381805499","69309673//27353377"
"cabinet/C2022-259238bde0cf94feb03e","C2022-259238bde0cf94feb03e","cabinet","not_applicable",,,2,2022,"22-01","22-01","[""lula_3-2023-01-01""]",2023-01-01,2023-09-12,255,,,,,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",9,,"not applicable",true,false,"2022:MDB|PCdoB|PDT|PSB|PSD|PSOL|PT|REDE|UNIÃO",1,false,"CE",3489096,5083860,0.6863084349293647,16,22,0.7272727272727273,15.098785568446024,16.35909752569125,0.9012144315539767,-1.2603119572452286,-1.2603119572452286,0.0,-0.3590975256912519,"381804//423655","-14604992699258//11588394932935","-9822530//27353377"
"cabinet/C2022-259238bde0cf94feb03e","C2022-259238bde0cf94feb03e","cabinet","not_applicable",,,2,2022,"22-01","22-01","[""lula_3-2023-01-01""]",2023-01-01,2023-09-12,255,,,,,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",9,,"not applicable",true,false,"2022:MDB|PCdoB|PDT|PSB|PSD|PSOL|PT|REDE|UNIÃO",1,false,"DF",748683,1607519,0.46573819656252896,2,8,0.25,3.7259055725002317,3.5103012966186955,-1.7259055725002317,0.21560427588153636,0.21560427588153636,0.0,-1.5103012966186953,"-2774426//1607519","37921405624011//175884292966652","-165247363//109413508"
"cabinet/C2022-259238bde0cf94feb03e","C2022-259238bde0cf94feb03e","cabinet","not_applicable",,,2,2022,"22-01","22-01","[""lula_3-2023-01-01""]",2023-01-01,2023-09-12,255,,,,,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",9,,"not applicable",true,false,"2022:MDB|PCdoB|PDT|PSB|PSD|PSOL|PT|REDE|UNIÃO",1,false,"ES",699048,2084430,0.3353665030727825,3,10,0.3,3.353665030727825,3.277580899791642,-0.35366503072782485,0.07608413093618306,0.07608413093618306,0.0,-0.2775808997916418,"-24573//69481","144600933246//1900539987337","-7592775//27353377"
"cabinet/C2022-259238bde0cf94feb03e","C2022-259238bde0cf94feb03e","cabinet","not_applicable",,,2,2022,"22-01","22-01","[""lula_3-2023-01-01""]",2023-01-01,2023-09-12,255,,,,,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",9,,"not applicable",true,false,"2022:MDB|PCdoB|PDT|PSB|PSD|PSOL|PT|REDE|UNIÃO",1,false,"GO",1392355,3439644,0.40479625217028276,8,17,0.47058823529411764,6.881536286894806,6.528244346209976,1.1184637131051935,0.3532919406848304,0.3532919406848304,0.0,1.4717556537900238,"226301//202332","977640670895//2767231737582","161029949//109413508"
