"election_year","electoral_unit","V_d","S_d","V","S","district_vote_weight","district_seat_weight","district_weight_gap","seat_equivalent_weight_gap","valid_votes_per_seat","sum_a_id","sum_b_id","expected_sum_b_id","b_closure_residual","seat_equivalent_weight_gap_exact"
2014,"RR",238099,8,97355354,513,0.002445669295188429,0.015594541910331383,0.013148872615142955,6.745371651568336,29762.375,0.0,6.745371651568336,6.745371651568336,0.0,"34563055//5123966"
2014,"RS",5942063,31,97355354,513,0.061034783972949244,0.06042884990253411,-0.0006059340704151345,-0.3108441781229618,191679.4516129032,0.0,-0.3108441781229618,-0.3108441781229618,0.0,"-1592755//5123966"
2014,"SC",3391619,16,97355354,513,0.03483751905416522,0.031189083820662766,-0.003648435233502452,-1.871647274786757,211976.1875,0.0,-1.871647274786757,-1.871647274786757,0.0,"-9590257//5123966"
2014,"SE",1052826,8,97355354,513,0.010814258864489364,0.015594541910331383,0.004780283045842019,2.452285202516957,131603.25,0.0,2.452285202516957,2.452285202516957,0.0,"6282713//2561983"
2014,"SP",21266194,70,97355354,513,0.21843887496932116,0.1364522417153996,-0.08198663325392155,-42.059142859261755,303802.77142857143,0.0,-42.059142859261755,-42.059142859261755,0.0,"-107754809//2561983"
2014,"TO",733225,8,97355354,513,0.007531429653062532,0.015594541910331383,0.008063112257268851,4.136376587978921,91653.125,0.0,4.136376587978921,4.136376587978921,0.0,"21194653//5123966"
2018,"AC",417502,8,98264190,513,0.004248770584686039,0.015594541910331383,0.011345771325645345,5.820380690056062,52187.75,0.0,5.820380690056062,5.820380690056062,0.0,"95322499//16377365"
2018,"AL",1460767,9,98264190,513,0.014865710489243334,0.017543859649122806,0.002678149159879472,1.3738905190181694,162307.44444444444,0.0,1.3738905190181694,1.3738905190181694,0.0,"45001413//32754730"
2018,"AM",1770246,8,98264190,513,0.01801516910687403,0.015594541910331383,-0.0024206271965426483,-1.2417817518263774,221280.75,0.0,-1.2417817518263774,-1.2417817518263774,0.0,"-20337113//16377365"
2018,"AP",364871,8,98264190,513,0.0037131634627019265,0.015594541910331383,0.011881378447629456,6.095147143633912,45608.875,0.0,6.095147143633912,6.095147143633912,0.0,"199644899//32754730"
