election_year,mandate_start,mandate_end,period_label,period_start,period_end,selected_by_overlap,raw_parties
2022,2023-01-01,2026-03-19,2021.1,2021-02-12,2021-03-30,false,"DEM, PSC, PSD, PSL, REPUBLICANOS"
2022,2023-01-01,2026-03-19,2021.2,2021-03-31,2021-07-27,false,"DEM, PL, PSC, PSD, PSL, REPUBLICANOS"
2022,2023-01-01,2026-03-19,2021.3,2021-07-28,2022-03-23,false,"DEM, PL, PP, PSC, PSD, PSL, REPUBLICANOS, UNIAO"
2022,2023-01-01,2026-03-19,2022.1,2022-03-24,2022-03-26,false,"PL, PP, PSC, REPUBLICANOS, UNIAO"
2022,2023-01-01,2026-03-19,2022.2,2022-03-27,2022-03-27,false,"PL, PP, PSC, UNIAO"
2022,2023-01-01,2026-03-19,2022.3,2022-03-28,2022-03-29,false,"PL, PP, PSC, REPUBLICANOS, UNIAO"
2022,2023-01-01,2026-03-19,2022.4,2022-03-30,2022-03-30,false,"PL, PP, REPUBLICANOS, UNIAO"
2022,2023-01-01,2026-03-19,2022.5,2022-03-31,2022-05-10,false,"PP, PSD, REPUBLICANOS"
2022,2023-01-01,2026-03-19,2022.6,2022-05-11,2022-12-29,false,"PP, PSD, REPUBLICANOS, UNIAO"
2022,2023-01-01,2026-03-19,2022.7,2022-12-30,2022-12-31,false,"NOVO, PSD, REPUBLICANOS, UNIAO"
2022,2023-01-01,2026-03-19,2023.1,2023-01-01,2023-09-12,true,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIAO"
2022,2023-01-01,2026-03-19,2023.2,2023-09-13,2023-12-03,true,"MDB, PCdoB, PDT, PP, PSB, PSD, PSOL, PT, REDE, REPUBLICANOS, UNIAO"
2022,2023-01-01,2026-03-19,2023.3,2023-12-04,2023-12-05,true,"MDB, PCdoB, PDT, PP, PSB, PSD, PSDB, PSOL, PT, REDE, REPUBLICANOS, UNIAO"
2022,2023-01-01,2026-03-19,2023.4,2023-12-06,2024-12-02,true,"MDB, PCdoB, PDT, PP, PSB, PSD, PSOL, PT, REDE, REPUBLICANOS, UNIAO"
2022,2023-01-01,2026-03-19,2024.1,2024-12-03,2024-12-05,true,"MDB, PCdoB, PDT, PP, PSB, PSD, PSDB, PSOL, PT, REDE, REPUBLICANOS, UNIAO"
2022,2023-01-01,2026-03-19,2024.2,2024-12-06,2025-10-07,true,"MDB, PCdoB, PDT, PP, PSB, PSD, PSOL, PT, REDE, REPUBLICANOS, UNIAO"
2022,2023-01-01,2026-03-19,2025.1,2025-10-08,2025-10-08,true,"MDB, PCdoB, PDT, PP, PSB, PSD, PSDB, PSOL, PT, REDE, REPUBLICANOS"
2022,2023-01-01,2026-03-19,2025.2,2025-10-09,2025-11-12,true,"MDB, PCdoB, PDT, PP, PSB, PSD, PSOL, PT, REDE, REPUBLICANOS, UNIAO"
2022,2023-01-01,2026-03-19,2025.3,2025-11-13,2025-11-16,true,"MDB, PCdoB, PDT, PP, PSB, PSD, PSDB, PSOL, PT, REDE, REPUBLICANOS"
2022,2023-01-01,2026-03-19,2025.4,2025-11-17,2025-12-07,true,"MDB, PCdoB, PDT, PP, PSB, PSD, PSOL, PT, REDE, REPUBLICANOS, UNIAO"
2022,2023-01-01,2026-03-19,2025.5,2025-12-08,2025-12-18,true,"MDB, PCdoB, PDT, PP, PSB, PSD, PSOL, PT, REDE, REPUBLICANOS"
2022,2023-01-01,2026-03-19,2025.6,2025-12-19,2025-12-22,true,"MDB, PCdoB, PDT, PP, PSB, PSD, PSDB, PSOL, PT, REDE, REPUBLICANOS"
2022,2023-01-01,2026-03-19,2025.7,2025-12-23,2026-03-19,true,"MDB, PCdoB, PDT, PP, PSB, PSD, PSOL, PT, REDE, REPUBLICANOS"
