inversion_id,election,domain,k,period,period_ranges,period_days,source_periods,coalition,members,omitted_party,source_coalition_id,is_main_focal,is_strongest_k1,votes,vote_share,seats,q_C,d_C,A_C,B_C,R_C,r_C,classification,component_pattern,party_count,gross_positive_A,gross_negative_A,positive_A_count,negative_A_count,largest_positive_A_party,largest_positive_A,top_two_positive_A_parties,top_two_positive_A_share,largest_negative_A_party,largest_negative_A,top_two_negative_A_parties,top_two_negative_A_share,gross_positive_B,gross_negative_B,positive_B_count,negative_B_count,largest_positive_B_party,largest_positive_B,top_two_positive_B_parties,top_two_positive_B_share,largest_negative_B_party,largest_negative_B,top_two_negative_B_parties,top_two_negative_B_share,gross_positive_d,gross_negative_d,positive_d_count,negative_d_count,largest_positive_d_party,largest_positive_d,top_two_positive_d_parties,top_two_positive_d_share,largest_negative_d_party,largest_negative_d,top_two_negative_d_parties,top_two_negative_d_share,reinforcing_positive_parties,reinforcing_negative_parties,offsetting_parties,substantial_offset_parties,focal,report_code,identity_residual,csv_member_sum_residual_A,csv_member_sum_residual_B,csv_member_sum_residual_d
k1/2014/9-24/omit-PROS,2014,k=1 minimal ideological,1,,,,,"PPS--PR, omitting PROS",PPS; PV; PTB; PT DO B; SOLIDARIEDADE; PMN; PHS; PMDB; PSD; PSDB; PTN; PPL; PRTB; PRP; PR,PROS,PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PPL|PRTB|PRP|PR,false,false,48315672,0.49628161179507396,264,254.59246685087294,9.4075331491270635,10.890442627681779,-1.4829094785547166,1.0369513413554279,2.4075331491270631,within-district dominance with between-district offset,A+ B-,15,20.012818831779907,-9.1223762040981278,9,6,PR,5.0428381901785997,PR; PSD,0.48412867680559124,PT DO B,-3.6149652242462449,PT DO B; PRTB,0.60590608807087232,6.5184674768593647,-8.0013769554140808,9,6,PMDB,4.224685645373679,PMDB; PRTB,0.72773777018199426,PSDB,-5.0113312742991472,PSDB; PV,0.77112292169915964,22.943676050933984,-13.536142901806921,8,7,PMDB,8.1333808616216423,PMDB; PSD,0.55292417106472014,PSDB,-4.4303847839739765,PSDB; PT DO B,0.56971329465981035,PTB; SOLIDARIEDADE; PMN; PMDB,PV,PPS; PT DO B; PHS; PSD; PSDB; PTN; PPL; PRTB; PRP; PR,PPS; PRTB; PRP,false,,0,0.0,0.0,-1.7763568394002505e-15
k1/2014/9-24/omit-SOLIDARIEDADE,2014,k=1 minimal ideological,1,,,,,"PPS--PR, omitting SOLIDARIEDADE",PPS; PV; PTB; PT DO B; PMN; PHS; PMDB; PSD; PSDB; PTN; PPL; PRTB; PROS; PRP; PR,SOLIDARIEDADE,PPS|PV|PTB|PT DO B|PMN|PHS|PMDB|PSD|PSDB|PTN|PPL|PRTB|PROS|PRP|PR,false,false,47603088,0.48896219924381357,260,250.83760821207636,9.1623917879236512,10.015939333945774,-0.85354754602212313,1.0365271852703088,6.1623917879236512,within-district dominance with between-district offset,A+ B-,15,19.320013039946463,-9.3040737060006879,8,7,PR,5.0428381901785997,PR; PSD,0.50148928368458667,PT DO B,-3.6149652242462449,PT DO B; PRTB,0.59407346226965729,7.1478294093919583,-8.0013769554140808,9,6,PMDB,4.224685645373679,PMDB; PROS,0.69786922929141715,PSDB,-5.0113312742991472,PSDB; PV,0.77112292169915964,22.698534689730572,-13.536142901806921,8,7,PMDB,8.1333808616216423,PMDB; PSD,0.55889568357818631,PSDB,-4.4303847839739765,PSDB; PT DO B,0.56971329465981035,PTB; PMN; PMDB,PV,PPS; PT DO B; PHS; PSD; PSDB; PTN; PPL; PRTB; PROS; PRP; PR,PPS; PRTB; PRP,false,,0,0.0,0.0,0.0
k1/2014/10-24/omit-PHS,2014,k=1 minimal ideological,1,,,,,"PV--PR, omitting PHS",PV; PTB; PT DO B; SOLIDARIEDADE; PMN; PMDB; PSD; PSDB; PTN; PPL; PRTB; PROS; PRP; PR,PHS,PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PMDB|PSD|PSDB|PTN|PPL|PRTB|PROS|PRP|PR,false,false,47394032,0.48681484944320574,260,249.73601776436456,10.263982235635444,10.309093531379469,-0.04511129574402617,1.0410993269113464,7.2639822356354431,within-district dominance with between-district offset,A+ B-,14,19.521091669040846,-9.2119981376613769,8,6,PR,5.0428381901785997,PR; PSD,0.49632365158888037,PT DO B,-3.6149652242462449,PT DO B; PRTB,0.60001133273558294,7.1593173069387115,-7.2044286026827375,9,5,PMDB,4.224685645373679,PMDB; PROS,0.69674942277028962,PSDB,-5.0113312742991472,PSDB; PV,0.8564239464011999,23.49490394745008,-13.230921711814638,8,6,PMDB,8.1333808616216423,PMDB; PSD,0.53995168867319321,PSDB,-4.4303847839739765,PSDB; PT DO B,0.58285588393197096,PTB; SOLIDARIEDADE; PMN; PMDB,PV,PT DO B; PSD; PSDB; PTN; PPL; PRTB; PROS; PRP; PR,PRTB; PRP,false,,0,0.0,-1.3877787807814457e-17,-1.7763568394002505e-15
k1/2014/10-24/omit-PMN,2014,k=1 minimal ideological,1,,,,,"PV--PR, omitting PMN",PV; PTB; PT DO B; SOLIDARIEDADE; PHS; PMDB; PSD; PSDB; PTN; PPL; PRTB; PROS; PRP; PR,PMN,PV|PTB|PT DO B|SOLIDARIEDADE|PHS|PMDB|PSD|PSDB|PTN|PPL|PRTB|PROS|PRP|PR,false,false,47868627,0.49168972258063998,262,252.23682768386831,9.7631723161316835,10.043703912096571,-0.28053159596488725,1.0387063713327698,4.7631723161316843,within-district dominance with between-district offset,A+ B-,14,19.347777618097261,-9.3040737060006879,7,7,PR,5.0428381901785997,PR; PSD,0.50076963315502787,PT DO B,-3.6149652242462449,PT DO B; PRTB,0.59407346226965729,6.9238970067178505,-7.2044286026827375,9,5,PMDB,4.224685645373679,PMDB; PROS,0.7204396882563513,PSDB,-5.0113312742991472,PSDB; PV,0.8564239464011999,22.994094027946321,-13.230921711814638,8,6,PMDB,8.1333808616216423,PMDB; PSD,0.55171180244030615,PSDB,-4.4303847839739765,PSDB; PT DO B,0.58285588393197096,PTB; SOLIDARIEDADE; PMDB,PV,PT DO B; PHS; PSD; PSDB; PTN; PPL; PRTB; PROS; PRP; PR,PRTB; PRP,false,,0,0.0,0.0,0.0
k1/2014/10-24/omit-PRP,2014,k=1 minimal ideological,1,,,,,"PV--PR, omitting PRP",PV; PTB; PT DO B; SOLIDARIEDADE; PMN; PHS; PMDB; PSD; PSDB; PTN; PPL; PRTB; PROS; PR,PRP,PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PPL|PRTB|PROS|PR,false,false,47612275,0.48905656488085902,262,250.8860177838807,11.113982216119311,11.429960002472946,-0.31597778635363472,1.0442989303042514,6.1139822161193109,within-district dominance with between-district offset,A+ B-,14,19.521091669040846,-8.0911316665679021,8,6,PR,5.0428381901785997,PR; PSD,0.49632365158888037,PT DO B,-3.6149652242462449,PT DO B; PRTB,0.68313105107094174,6.8884508163291027,-7.2044286026827375,9,5,PMDB,4.224685645373679,PMDB; PROS,0.72414688498816349,PSDB,-5.0113312742991472,PSDB; PV,0.8564239464011999,23.525543104696634,-12.411560888577325,9,5,PMDB,8.1333808616216423,PMDB; PSD,0.53924846730137721,PSDB,-4.4303847839739765,PSDB; PT DO B,0.62133366131827306,PTB; SOLIDARIEDADE; PMN; PMDB,PV,PT DO B; PHS; PSD; PSDB; PTN; PPL; PRTB; PROS; PR,PRTB,false,,0,0.0,0.0,0.0
k1/2014/10-24/omit-PRTB,2014,k=1 minimal ideological,1,,,,,"PV--PR, omitting PRTB",PV; PTB; PT DO B; SOLIDARIEDADE; PMN; PHS; PMDB; PSD; PSDB; PTN; PPL; PROS; PRP; PR,PRTB,PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PPL|PROS|PRP|PR,false,false,47882910,0.49183643253970399,264,252.31208989286813,11.687910107131858,12.129356018529824,-0.44144591139796518,1.0463232265726725,4.6879101071318585,within-district dominance with between-district offset,A+ B-,14,19.521091669040846,-7.3917356505110234,8,6,PR,5.0428381901785997,PR; PSD,0.49632365158888037,PT DO B,-3.6149652242462449,PT DO B; PV,0.67893192882658826,6.7629826912847726,-7.2044286026827375,9,5,PMDB,4.224685645373679,PMDB; PROS,0.73758139400047285,PSDB,-5.0113312742991472,PSDB; PV,0.8564239464011999,23.525543104696634,-11.837632997564777,9,5,PMDB,8.1333808616216423,PMDB; PSD,0.53924846730137721,PSDB,-4.4303847839739765,PSDB; PT DO B,0.65145798751835549,PTB; SOLIDARIEDADE; PMN; PMDB,PV,PT DO B; PHS; PSD; PSDB; PTN; PPL; PROS; PRP; PR,PRP,false,,0,0.0,5.551115123125783e-17,0.0
k1/2014/10-24/omit-PT DO B,2014,k=1 minimal ideological,1,,,,,"PV--PR, omitting PT DO B",PV; PTB; SOLIDARIEDADE; PMN; PHS; PMDB; PSD; PSDB; PTN; PPL; PRTB; PROS; PRP; PR,PT DO B,PV|PTB|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PPL|PRTB|PROS|PRP|PR,false,false,47524603,0.48815602889184706,264,250.42404282151756,13.575957178482449,13.831983187286403,-0.25602600880395399,1.0542118760863481,6.5759571784824491,within-district dominance with between-district offset,A+ B-,14,19.521091669040846,-5.6891084817544435,8,6,PR,5.0428381901785997,PR; PSD,0.49632365158888037,PRTB,-1.9123380554896656,PRTB; PV,0.58284319668985463,6.9484025938787841,-7.2044286026827375,9,5,PMDB,4.224685645373679,PMDB; PROS,0.71789884561860384,PSDB,-5.0113312742991472,PSDB; PV,0.8564239464011999,23.525543104696634,-9.949585926214187,9,5,PMDB,8.1333808616216423,PMDB; PSD,0.53924846730137721,PSDB,-4.4303847839739765,PSDB; PV,0.70280500669460633,PTB; SOLIDARIEDADE; PMN; PMDB,PV,PHS; PSD; PSDB; PTN; PPL; PRTB; PROS; PRP; PR,PRTB; PRP,false,,0,0.0,0.0,0.0
k1/2014/10-24/omit-PTN,2014,k=1 minimal ideological,1,,,,,"PV--PR, omitting PTN",PV; PTB; PT DO B; SOLIDARIEDADE; PMN; PHS; PMDB; PSD; PSDB; PPL; PRTB; PROS; PRP; PR,PTN,PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PPL|PRTB|PROS|PRP|PR,false,false,47613918,0.4890734411997516,261,250.89467533547256,10.105324664527439,9.8249398790799329,0.28038478544750556,1.0402771587360933,6.1053246645274379,reinforcement,A+ B+,14,19.129013585080621,-9.3040737060006879,7,7,PR,5.0428381901785997,PR; PSD,0.50649655598217769,PT DO B,-3.6149652242462449,PT DO B; PRTB,0.59407346226965729,7.2820320325245778,-7.0016472470770719,10,4,PMDB,4.224685645373679,PMDB; PROS,0.68500800034376341,PSDB,-5.0113312742991472,PSDB; PV,0.88122765368549483,23.336246376342075,-13.230921711814638,8,6,PMDB,8.1333808616216423,PMDB; PSD,0.54362269137255625,PSDB,-4.4303847839739765,PSDB; PT DO B,0.58285588393197096,PTB; SOLIDARIEDADE; PMN; PMDB,PV,PT DO B; PHS; PSD; PSDB; PPL; PRTB; PROS; PRP; PR,PRTB; PRP,false,,0,0.0,0.0,-1.7763568394002505e-15
k1/2014/11-24/omit-PPL,2014,k=1 minimal ideological,1,,,,,"PTB--PR, omitting PPL",PTB; PT DO B; SOLIDARIEDADE; PMN; PHS; PMDB; PSD; PSDB; PTN; PRTB; PROS; PRP; PR,PPL,PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR,false,true,46191382,0.47446165107673482,257,243.39882700236495,13.601172997635034,12.507073279630276,1.0940997180047587,1.0558801912282958,13.601172997635034,reinforcement,A+ B+,13,19.521091669040846,-7.0140183894105705,8,5,PR,5.0428381901785997,PR; PSD,0.49632365158888037,PT DO B,-3.6149652242462449,PT DO B; PRTB,0.78803661080797405,7.1398144195114108,-6.0457147015066521,9,4,PMDB,4.224685645373679,PMDB; PROS,0.69865264108366643,PSDB,-5.0113312742991472,PSDB; PR,0.95104127796264926,23.525543104696634,-9.9243701070616002,9,4,PMDB,8.1333808616216423,PMDB; PSD,0.53924846730137721,PSDB,-4.4303847839739765,PSDB; PT DO B,0.77704886923626704,PTB; SOLIDARIEDADE; PMN; PMDB,,PT DO B; PHS; PSD; PSDB; PTN; PRTB; PROS; PRP; PR,PRTB; PRP,true,G14,0,0.0,2.220446049250313e-16,0.0
k1/2014/11-25/omit-SOLIDARIEDADE,2014,k=1 minimal ideological,1,,,,,"PTB--PRB, omitting SOLIDARIEDADE",PTB; PT DO B; PMN; PHS; PMDB; PSD; PSDB; PTN; PPL; PRTB; PROS; PRP; PR; PRB,SOLIDARIEDADE,PTB|PT DO B|PMN|PHS|PMDB|PSD|PSDB|PTN|PPL|PRTB|PROS|PRP|PR|PRB,false,false,48067759,0.49373513653907519,263,253.28612504454557,9.7138749554544273,10.786175446187162,-1.0723004907327345,1.0383513899695296,3.7138749554544273,within-district dominance with between-district offset,A+ B-,14,18.828285877207403,-8.0421104310202409,7,7,PR,5.0428381901785997,PR; PSD,0.51458638154142244,PT DO B,-3.6149652242462449,PT DO B; PRTB,0.68729512323231101,7.1478294093919583,-8.220129900124693,9,5,PMDB,4.224685645373679,PMDB; PROS,0.69786922929141715,PSDB,-5.0113312742991472,PSDB; PRB,0.87416458866522118,22.698534689730572,-12.984659734276145,8,6,PMDB,8.1333808616216423,PMDB; PSD,0.55889568357818631,PSDB,-4.4303847839739765,PSDB; PT DO B,0.59391010064110339,PTB; PMN; PMDB,PRB,PT DO B; PHS; PSD; PSDB; PTN; PPL; PRTB; PROS; PRP; PR,PRTB; PRP,false,,0,0.0,2.220446049250313e-16,0.0
