"check_kind","check_name","observed","expected","passed"
"accounting_identity","2018/2020.9 member A equals district A_C","9703509266329608192046892034002346096880761895658949164119762380627082243536664414618244294514617671171522024663482828642325107837572150402028290769449//2901199675241983229312845809053593385053167286423196190625562314027998132600954390147616944958042059588277685480857199697955682916268484774514439021680","9703509266329608192046892034002346096880761895658949164119762380627082243536664414618244294514617671171522024663482828642325107837572150402028290769449//2901199675241983229312845809053593385053167286423196190625562314027998132600954390147616944958042059588277685480857199697955682916268484774514439021680",true
"accounting_identity","2018/2020.9 member B equals district B_C","-28038443964620323752592739195018565346017543025470277553022027369360954961296311724486597798397262003012902255619363350006149472761657099450907066468021961969//9502801203863884534067035000718200685720253011162445696096882469416229127384845879159985317552552899045794675295039774466261994588798682629833133125659254640","-28038443964620323752592739195018565346017543025470277553022027369360954961296311724486597798397262003012902255619363350006149472761657099450907066468021961969//9502801203863884534067035000718200685720253011162445696096882469416229127384845879159985317552552899045794675295039774466261994588798682629833133125659254640",true
"accounting_identity","2018/2020.9 coalition A+B closure","12908931//32754730","12908931//32754730",true
"accounting_identity","2018/2020.9 member votes","23484929","23484929",true
"accounting_identity","2018/2020.9 calendar days","65","65",true
"accounting_identity","2018/2021.1 member A equals district A_C","219752418270725134896709184673410509890824831537928672017749374717673700822503549473816185766958260236684547106986477308910648697242038949669386146627//28443134070999835581498488324054837108364385161011727359074140333607824829421121472035460244686686858708604759616247055862310616826161615436416068840","219752418270725134896709184673410509890824831537928672017749374717673700822503549473816185766958260236684547106986477308910648697242038949669386146627//28443134070999835581498488324054837108364385161011727359074140333607824829421121472035460244686686858708604759616247055862310616826161615436416068840",true
"accounting_identity","2018/2021.1 member B equals district B_C","-405661983310137613343268492522975170896885667250790632740208591668615529339419729119166620471393942168328528730917566879914902931158513580609775563348538879//93164717684940044451637598046256869467845617756494565648008651660943422817498489011372405074044636265154849757794507592806490143027438064998364050251561320","-405661983310137613343268492522975170896885667250790632740208591668615529339419729119166620471393942168328528730917566879914902931158513580609775563348538879//93164717684940044451637598046256869467845617756494565648008651660943422817498489011372405074044636265154849757794507592806490143027438064998364050251561320",true
"accounting_identity","2018/2021.1 coalition A+B closure","110441813//32754730","110441813//32754730",true
"accounting_identity","2018/2021.1 member votes","28469457","28469457",true
"accounting_identity","2018/2021.1 calendar days","47","47",true
"accounting_identity","2018/2021.2 member A equals district A_C","340755759347312391066085803663235465286998401491698370167434189091445490011556853487324055868680709412318639748959637219306282774503559154024309001255//24176663960349860244273715075446611542109727386859968255213019283566651105007953251230141207983683829902314045673809997482964024302237373120953658514","340755759347312391066085803663235465286998401491698370167434189091445490011556853487324055868680709412318639748959637219306282774503559154024309001255//24176663960349860244273715075446611542109727386859968255213019283566651105007953251230141207983683829902314045673809997482964024302237373120953658514",true
"accounting_identity","2018/2021.2 member B equals district B_C","-1979049461470290459771163880172740364886915148902942479143206687856295204198865795676104802457790121549207844899933971199120465799074647111411656002359264681//395950050160995188919459791696591695238343875465101904004036769559009546974368578298332721564689704126908111470626657269427583107866611776243047213569135610","-1979049461470290459771163880172740364886915148902942479143206687856295204198865795676104802457790121549207844899933971199120465799074647111411656002359264681//395950050160995188919459791696591695238343875465101904004036769559009546974368578298332721564689704126908111470626657269427583107866611776243047213569135610",true
"accounting_identity","2018/2021.2 coalition A+B closure","148971421//16377365","148971421//16377365",true
"accounting_identity","2018/2021.2 member votes","33694048","33694048",true
"accounting_identity","2018/2021.2 calendar days","119","119",true
"accounting_identity","2018/2021.3 member A equals district A_C","31061961750949100648891719825080600448081532723596564558364943667493213582310457391415638623776846070682728293895034737825029486548630252817244323195223//1450599837620991614656422904526796692526583643211598095312781157013999066300477195073808472479021029794138842740428599848977841458134242387257219510840","31061961750949100648891719825080600448081532723596564558364943667493213582310457391415638623776846070682728293895034737825029486548630252817244323195223//1450599837620991614656422904526796692526583643211598095312781157013999066300477195073808472479021029794138842740428599848977841458134242387257219510840",true
"accounting_identity","2018/2021.3 member B equals district B_C","-16882379450614959323776842134516104061489196911297099871836734728066732174007942023026979965736377713987824666995524147182734395739924545619332305763028266303//4751400601931942267033517500359100342860126505581222848048441234708114563692422939579992658776276449522897337647519887233130997294399341314916566562829627320","-16882379450614959323776842134516104061489196911297099871836734728066732174007942023026979965736377713987824666995524147182734395739924545619332305763028266303//4751400601931942267033517500359100342860126505581222848048441234708114563692422939579992658776276449522897337647519887233130997294399341314916566562829627320",true
"accounting_identity","2018/2021.3 coalition A+B closure","292500507//16377365","292500507//16377365",true
"accounting_identity","2018/2021.3 member votes","39102626","39102626",true
"accounting_identity","2018/2021.3 calendar days","239","239",true
"accounting_identity","2018/2022.1 member A equals district A_C","24877333577147231007188237433207815035661463108979277451494839441301581522908460549182475420242584569504889656590039319318876393913854629279368338962821//1450599837620991614656422904526796692526583643211598095312781157013999066300477195073808472479021029794138842740428599848977841458134242387257219510840","24877333577147231007188237433207815035661463108979277451494839441301581522908460549182475420242584569504889656590039319318876393913854629279368338962821//1450599837620991614656422904526796692526583643211598095312781157013999066300477195073808472479021029794138842740428599848977841458134242387257219510840",true
