election_year,ideological_universe,ideological_party_count,start_index,end_index,start_party,end_party,interval_size,vote_share,seat_share,seats,seat_diff,majority_status,coalition_inversion,minimal_ideological_interval_inversion
2014,seat_winning,28,4,10,PDT,SOLIDARIEDADE,7,0.2174792359134147,0.2202729044834308,113,1.4331519764182588,neither,false,false
2014,seat_winning,28,4,11,PDT,PMN,8,0.22229122601721524,0.22612085769980506,116,1.964601053168579,neither,false,false
2014,seat_winning,28,4,12,PDT,PHS,9,0.23197808925845004,0.23586744639376217,121,1.9952402104151332,neither,false,false
2014,seat_winning,28,4,13,PDT,PMDB,10,0.3428291986899868,0.36257309941520466,186,10.128621072036765,neither,false,false
2014,seat_winning,28,4,14,PDT,PSD,11,0.40412991564901507,0.4327485380116959,222,14.681353272055276,neither,false,false
2014,seat_winning,28,4,15,PDT,PSDB,12,0.518029301192824,0.5380116959064327,276,10.250968488081298,votes+seats,false,false
2014,seat_winning,28,4,16,PDT,PTN,13,0.5254575726775129,0.5458089668615984,280,10.440265216435876,votes+seats,false,false
2014,seat_winning,28,4,17,PDT,PRTB,14,0.5301228528222495,0.5477582846003899,281,9.046976502185998,votes+seats,false,false
2014,seat_winning,28,4,18,PDT,PROS,15,0.5504311041794373,0.5692007797270955,292,9.628843555948663,votes+seats,false,false
2014,seat_winning,28,4,19,PDT,PRP,16,0.5578762519830188,0.5750487329434698,295,8.80948273271133,votes+seats,false,false
2014,seat_winning,28,4,20,PDT,PR,17,0.6157623236622405,0.6413255360623782,329,13.113927961270633,votes+seats,false,false
2014,seat_winning,28,4,21,PDT,PRB,18,0.6612125615608156,0.682261208576998,350,10.797955919301558,votes+seats,false,false
2014,seat_winning,28,4,22,PDT,PTC,19,0.6646855806204557,0.6861598440545809,352,11.016297141706218,votes+seats,false,false
2014,seat_winning,28,4,23,PDT,PSDC,20,0.6699234640962838,0.6900584795321637,354,10.329262918606446,votes+seats,false,false
2014,seat_winning,28,4,24,PDT,PSL,21,0.6782302491550696,0.6920077972709552,355,7.067882183449285,votes+seats,false,false
2014,seat_winning,28,4,25,PDT,PP,22,0.7442748038284571,0.7660818713450293,393,11.187025636001522,votes+seats,false,false
2014,seat_winning,28,4,26,PDT,PSC,23,0.7701636830368878,0.7914230019493177,406,10.906030602076555,votes+seats,false,false
2014,seat_winning,28,4,27,PDT,PEN,24,0.7770249697823501,0.7953216374269005,408,9.386190501654369,votes+seats,false,false
2014,seat_winning,28,4,28,PDT,DEM,25,0.818989657209813,0.8362573099415205,429,8.858305851365913,votes+seats,false,false
2014,seat_winning,28,5,5,PSB,PSB,1,0.06438144120969454,0.06627680311890838,34,0.9723206594266998,neither,false,false
2014,seat_winning,28,5,6,PSB,PPS,2,0.08446959167751575,0.08576998050682261,44,0.6670994694344188,neither,false,false
2014,seat_winning,28,5,7,PSB,PV,3,0.10505874181300805,0.10136452241715399,52,-1.8951345500731307,neither,false,false
2014,seat_winning,28,5,8,PSB,PTB,4,0.14526395743987536,0.15009746588693956,77,2.479589833343937,neither,false,false
2014,seat_winning,28,5,9,PSB,PT DO B,5,0.15360964123246884,0.15204678362573099,78,-0.8017459522565105,neither,false,false
2014,seat_winning,28,5,10,PSB,SOLIDARIEDADE,6,0.18123730514091707,0.18128654970760233,93,0.025262462709548572,neither,false,false
