election_year,start_index,end_index,start_party,end_party,parties,interval_size,votes,national_vote_total,vote_share,seats,seat_share,quota,seat_diff,required_diff,representation_ratio,vote_majority,seat_majority,majority_status,coalition_inversion,left_removed_seats,right_removed_seats,minimal_connected_winning,minimal_connected_inversion,endpoint_minimal_connected_winning,minimal_ideological_interval_inversion,old_sweep_equivalent
2014,2,10,PCO,PV,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV",9,31048976,97355354,0.31892417544904617,156,0.30409356725146197,163.60810200536068,-7.608102005360678,93.39189799463932,0.9534980119437398,false,false,neither,false,156,148,false,false,false,false,false
2014,2,11,PCO,PTB,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB",10,34963169,97355354,0.3591293910759135,181,0.35282651072124754,184.23337762194365,-3.233377621943646,72.76662237805635,0.982449555755425,false,false,neither,false,181,156,false,false,false,false,false
2014,2,12,PCO,PT DO B,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B",11,35775666,97355354,0.367475074868507,182,0.35477582846003897,188.5147134075441,-6.514713407544093,68.4852865924559,0.9654418836079912,false,false,neither,false,182,181,false,false,false,false,false
2014,2,13,PCO,SOLIDARIEDADE,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE",12,38465367,97355354,0.3951027387769552,197,0.3840155945419103,202.687704992578,-5.687704992578006,54.312295007421994,0.9719385791418069,false,false,neither,false,197,182,false,false,false,false,false
2014,2,14,PCO,PMN,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN",13,38933840,97355354,0.39991472888075574,200,0.3898635477582846,205.1562559158277,-5.1562559158277,51.8437440841723,0.9748666893299943,false,false,neither,false,200,197,false,false,false,false,false
2014,2,15,PCO,PHS,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS",14,39876908,97355354,0.40960159212199054,205,0.3996101364522417,210.12561675858115,-5.125616758581145,46.874383241418855,0.9756068924976905,false,false,neither,false,205,200,false,false,false,false,false
2014,2,16,PCO,PMDB,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",15,50668857,97355354,0.5204527015535273,270,0.5263157894736842,266.9922358969595,3.007764103040472,-9.992235896959528,1.0112653616796605,true,true,votes+seats,false,270,205,false,false,false,false,true
2014,2,17,PCO,PSD,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD",16,56636810,97355354,0.5817534185125556,306,0.5964912280701754,298.439503696941,7.560496303058983,-41.43950369694102,1.025333430090195,true,true,votes+seats,false,306,270,false,false,false,false,false
2014,2,18,PCO,PSDB,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB",17,67725525,97355354,0.6956528040563644,360,0.7017543859649122,356.86988848091494,3.1301115190850624,-99.86988848091494,1.008771016048479,true,true,votes+seats,false,360,306,false,false,false,false,false
2014,2,19,PCO,PTN,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",18,68448707,97355354,0.7030810755410535,364,0.7095516569200779,360.6805917525604,3.3194082474395827,-103.68059175256042,1.0092031795537166,true,true,votes+seats,false,364,360,false,false,false,false,false
2014,2,20,PCO,PPL,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL",19,68589961,97355354,0.7045319870132669,364,0.7095516569200779,361.4249093378059,2.5750906621941,-104.4249093378059,1.007124828963538,true,true,votes+seats,false,364,364,false,false,false,false,false
2014,2,21,PCO,PRTB,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB",20,69044151,97355354,0.7091972671580035,365,0.7115009746588694,363.8181980520558,1.1818019479442228,-106.81819805205578,1.0032483310463076,true,true,votes+seats,false,365,364,false,false,false,false,false
2014,2,22,PCO,PROS,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS",21,71021268,97355354,0.7295055185151913,376,0.732943469785575,374.2363309982931,1.7636690017068872,-117.23633099829311,1.0047127145485908,true,true,votes+seats,false,376,365,false,false,false,false,false
2014,2,23,PCO,PRP,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP",22,71746093,97355354,0.7369506663187728,379,0.7387914230019493,378.05569182153044,0.9443081784695551,-121.05569182153044,1.0024978017760287,true,true,votes+seats,false,379,376,false,false,false,false,false
2014,2,24,PCO,PR,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",23,77381612,97355354,0.7948367379979945,413,0.8050682261208577,407.75124659297114,5.2487534070288575,-150.75124659297114,1.0128724398781994,true,true,votes+seats,false,413,379,false,false,false,false,false
2014,2,25,PCO,PRB,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB",24,81806436,97355354,0.8402869758965696,434,0.8460038986354775,431.0672186349402,2.932781365059782,-174.06721863494022,1.0068035360572,true,true,votes+seats,false,434,413,false,false,false,false,false
2014,2,26,PCO,PTC,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC",25,82144553,97355354,0.8437599949562096,436,0.8499025341130604,432.8488774125355,3.1511225874644992,-175.8488774125355,1.0072799601706284,true,true,votes+seats,false,436,434,false,false,false,false,false
2014,2,27,PCO,PSDC,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC",26,82654489,97355354,0.8489978784320378,438,0.8538011695906432,435.5359116356354,2.4640883643646134,-178.5359116356354,1.005657600897044,true,true,votes+seats,false,438,436,false,false,false,false,false
2014,2,28,PCO,PSL,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL",27,83463199,97355354,0.8573046634908236,439,0.8557504873294347,439.7972923707925,-0.7972923707924906,-182.7972923707925,0.998187136699968,true,true,votes+seats,false,439,438,false,false,false,false,false
2014,2,29,PCO,PP,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP",28,89892990,97355354,0.9233492181642111,477,0.9298245614035088,473.6781489182403,3.3218510817596894,-216.6781489182403,1.007012886470161,true,true,votes+seats,false,477,439,false,false,false,false,false
2014,2,30,PCO,PSC,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP, PSC",29,92413411,97355354,0.9492380973726416,490,0.9551656920077972,486.95914395216516,3.0408560478348363,-229.95914395216516,1.0062445814717744,true,true,votes+seats,false,490,477,false,false,false,false,false
